casename,num_drop,volume[ml],RoI
office1_0_0,6884.6,6.354708314e-05,208.62424242424245
office1_0_123_aout,6557.8,6.465938204e-05,198.72121212121212
office1_0_123_bout,6092.4,5.656772848e-05,184.6181818181818
office1_0_164_aout,6534.4,7.446129156000001e-05,198.0121212121212
office1_0_164_bout,6483.4,5.3338815979999996e-05,196.46666666666664
office1_0_205_aout,7197.0,7.436304220000001e-05,218.0909090909091
office1_0_205_bout,6478.2,6.600086054e-05,196.3090909090909
office1_0_246_aout,6558.2,6.816614122e-05,198.73333333333335
office1_0_246_bout,6708.6,6.487567224e-05,203.2909090909091
office1_0_41_aout,6930.6,4.678715924e-05,210.01818181818186
office1_0_41_bout,6854.2,6.156006058e-05,207.7030303030303
office1_0_82_aout,5683.4,4.5144246199999996e-05,172.2242424242424
office1_0_82_bout,6537.2,6.028172792e-05,198.0969696969697
office1_660_0,5604.6,5.6176510762e-05,169.83636363636361
office1_660_123_aout,4989.4,6.0504142280000006e-05,151.1939393939394
office1_660_123_bout,5500.0,6.1449084546e-05,166.66666666666669
office1_660_164_aout,4808.0,5.041605182e-05,145.6969696969697
office1_660_164_bout,5244.4,5.928383324e-05,158.92121212121214
office1_660_205_aout,5307.0,4.803016056e-05,160.8181818181818
office1_660_205_bout,5731.6,5.795564902e-05,173.6848484848485
office1_660_246_aout,5531.6,6.015113322e-05,167.62424242424242
office1_660_246_bout,5356.6,5.5628194799999993e-05,162.3212121212121
office1_660_41_aout,6010.8,5.964972878000001e-05,182.14545454545456
office1_660_41_bout,5419.8,4.393471808e-05,164.2363636363636
office1_660_82_aout,4166.4,3.5422446679999996e-05,126.25454545454545
office1_660_82_bout,6807.2,5.1162008300000006e-05,206.27878787878785
office1_960_0,6153.4,4.99768921e-05,186.46666666666664
office1_960_123_aout,7070.8,8.80754474e-05,214.2666666666667
office1_960_123_bout,6273.4,9.158534298e-05,190.1030303030303
office1_960_164_aout,4858.0,4.649691544e-05,147.21212121212122
office1_960_164_bout,5411.2,5.979724047999999e-05,163.97575757575757
office1_960_205_aout,5445.4,4.720280268e-05,165.0121212121212
office1_960_205_bout,5091.8,5.3267952339999995e-05,154.2969696969697
office1_960_246_aout,5990.0,5.5036605019999994e-05,181.51515151515153
office1_960_246_bout,7195.4,8.9394270112e-05,218.0424242424242
office1_960_41_aout,5139.0,6.698802702600001e-05,155.72727272727275
office1_960_41_bout,7625.8,7.663644498e-05,231.0848484848485
office1_960_82_aout,6073.6,5.863668192e-05,184.04848484848486
office1_960_82_bout,5982.8,8.047130868000001e-05,181.2969696969697
office7_0_0,6344.6,6.125681974e-05,176.2388888888889
office7_0_164_aout,6702.8,7.556652426e-05,186.18888888888887
office7_0_164_bout,6222.0,6.494446138000001e-05,172.83333333333334
office7_0_246_aout,6852.8,7.906643798e-05,190.35555555555558
office7_0_246_bout,6459.8,6.19461156e-05,179.4388888888889
office7_0_82_aout,6410.0,7.403187848e-05,178.05555555555554
office7_0_82_bout,5721.2,5.245482206e-05,158.92222222222222
office7_360_0,5461.4,6.104029989999999e-05,151.70555555555555
office7_360_164_aout,5531.8,5.3413037659999995e-05,153.6611111111111
office7_360_164_bout,5526.2,8.187139186e-05,153.50555555555556
office7_360_246_aout,6049.2,7.935778334e-05,168.03333333333333
office7_360_246_bout,5508.8,6.44616338e-05,153.0222222222222
office7_360_82_aout,6185.2,6.901021044e-05,171.81111111111113
office7_360_82_bout,5707.8,6.684266404e-05,158.54999999999998
office7_660_0,6366.2,7.648658064e-05,176.8388888888889
office7_660_164_aout,6426.4,7.361923524e-05,178.51111111111112
office7_660_164_bout,7011.6,0.00010423626160000001,194.76666666666668
office7_660_246_aout,6603.4,8.47901233e-05,183.42777777777778
office7_660_246_bout,7563.4,8.95468955e-05,210.09444444444443
office7_660_82_aout,6336.6,8.105803359999999e-05,176.01666666666668
office7_660_82_bout,6706.6,9.006040482e-05,186.29444444444442
office7_960_0,7100.0,9.045460385999999e-05,197.22222222222223
office7_960_164_aout,6858.6,8.848831432e-05,190.51666666666668
office7_960_164_bout,6735.0,9.345632846000001e-05,187.08333333333334
office7_960_246_aout,6774.6,8.231596076e-05,188.18333333333334
office7_960_246_bout,7164.6,0.00010004568178,199.01666666666665
office7_960_82_aout,6988.2,9.874539246e-05,194.11666666666665
office7_960_82_bout,7103.8,0.0001034706833,197.32777777777775
office3_0_0,4625.0,4.769696172e-05,140.15151515151516
office3_0_164_aout,4287.8,5.2980650779999995e-05,129.93333333333334
office3_0_164_bout,4982.6,5.0224604619999994e-05,150.9878787878788
office3_0_246_aout,4956.6,4.50203992e-05,150.2
office3_0_246_bout,3687.8,4.786148202e-05,111.75151515151515
office3_0_82_aout,4284.6,4.482725562e-05,129.83636363636361
office3_0_82_bout,3791.4,3.931953472e-05,114.8909090909091
office3_360_0,5058.8,4.907252332000001e-05,153.2969696969697
office3_360_164_aout,4432.4,5.645534476e-05,134.3151515151515
office3_360_164_bout,4482.8,4.993678596e-05,135.84242424242424
office3_360_246_aout,3938.8,4.871467062e-05,119.35757575757575
office3_360_246_bout,4602.0,5.1517046080000006e-05,139.45454545454544
office3_360_82_aout,4296.2,6.300431998000001e-05,130.1878787878788
office3_360_82_bout,4274.4,5.866751163999999e-05,129.52727272727276
office3_660_0,4620.8,4.5841943559999993e-05,140.02424242424243
office3_660_164_aout,3316.8,6.147365156e-05,100.50909090909092
office3_660_164_bout,4081.4,5.2997297820000006e-05,123.67878787878786
office3_660_246_aout,4101.4,7.78480827e-05,124.2848484848485
office3_660_246_bout,3693.8,4.3915743319999996e-05,111.93333333333332
office3_660_82_aout,4483.0,7.870222258e-05,135.84848484848484
office3_660_82_bout,5124.8,4.471891406e-05,155.2969696969697
office3_960_0,4465.6,6.610999698e-05,135.3212121212121
office3_960_164_aout,4267.0,5.8636800520000005e-05,129.3030303030303
office3_960_164_bout,4120.6,6.749362256e-05,124.86666666666667
office3_960_246_aout,3853.2,7.037608956e-05,116.76363636363635
office3_960_246_bout,3177.0,5.8808430199999996e-05,96.27272727272728
office3_960_82_aout,4407.0,6.585424782e-05,133.54545454545456
office3_960_82_bout,4429.4,4.65954843e-05,134.22424242424242
office28_0_0,6120.0,6.567989329999999e-05,107.36842105263156
office28_0_164_aout,5789.4,4.79129012e-05,101.56842105263158
office28_0_164_bout,6340.2,6.892548334e-05,111.23157894736842
office28_0_246_aout,5686.2,4.857690148e-05,99.75789473684209
office28_0_246_bout,6083.2,8.654146003999999e-05,106.72280701754384
office28_0_82_aout,5486.6,6.884784454e-05,96.25614035087719
office28_0_82_bout,6028.0,6.975857688000002e-05,105.75438596491229
office28_360_0,6617.6,6.298996898e-05,116.0982456140351
office28_360_164_aout,6341.8,6.339884275999999e-05,111.25964912280702
office28_360_164_bout,7595.2,7.898199252e-05,133.24912280701756
office28_360_246_aout,6028.2,6.016867442000001e-05,105.7578947368421
office28_360_246_bout,6299.4,5.935845548e-05,110.51578947368421
office28_360_82_aout,6456.2,6.571750231999999e-05,113.26666666666668
office28_360_82_bout,7202.6,7.17537966e-05,126.36140350877193
office28_660_0,5651.6,3.78825065e-05,99.15087719298245
office28_660_164_aout,6076.2,5.768409944000001e-05,106.6
office28_660_164_bout,7154.4,7.528509808e-05,125.51578947368421
office28_660_246_aout,6978.2,6.924627096000001e-05,122.42456140350876
office28_660_246_bout,6921.4,9.639001079999999e-05,121.42807017543859
office28_660_82_aout,6932.0,7.029896078e-05,121.6140350877193
office28_660_82_bout,6494.8,8.96871344e-05,113.9438596491228
office28_960_0,6636.2,8.537243118e-05,116.42456140350878
office28_960_164_aout,6398.0,7.041058496e-05,112.24561403508771
office28_960_164_bout,6231.8,8.496009552e-05,109.32982456140351
office28_960_246_aout,6073.4,8.106966776e-05,106.55087719298247
office28_960_246_bout,7490.6,0.0001239260107,131.4140350877193
office28_960_82_aout,6573.0,9.138713508000001e-05,115.3157894736842
office28_960_82_bout,7185.2,0.00010013216902000002,126.0561403508772
office2_0_0,6288.2,5.436356112e-05,190.55151515151516
office2_0_164_aout,7559.4,5.967378128e-05,229.07272727272726
office2_0_164_bout,5527.4,5.3724671320000006e-05,167.4969696969697
office2_0_246_aout,6987.6,4.778041968e-05,211.74545454545455
office2_0_246_bout,7016.2,7.163978146e-05,212.6121212121212
office2_0_82_aout,7027.4,6.013746388e-05,212.95151515151514
office2_0_82_bout,7060.4,6.232039012000001e-05,213.95151515151514
office2_360_0,5947.0,6.0346868079999994e-05,180.2121212121212
office2_360_164_aout,6375.0,5.495027108e-05,193.1818181818182
office2_360_164_bout,5496.0,5.856589058000001e-05,166.54545454545456
office2_360_246_aout,5362.0,4.406386379e-05,162.48484848484847
office2_360_246_bout,6860.0,8.231042094e-05,207.8787878787879
office2_360_82_aout,4659.4,3.821505834e-05,141.1939393939394
office2_360_82_bout,6108.0,3.8866907919999995e-05,185.0909090909091
office2_660_0,6889.0,5.781217842e-05,208.75757575757575
office2_660_164_aout,7215.4,7.775782654000001e-05,218.64848484848486
office2_660_164_bout,4305.2,4.971039173e-05,130.46060606060604
office2_660_246_aout,7132.8,7.035345915999999e-05,216.14545454545456
office2_660_246_bout,5061.4,4.3418799940000006e-05,153.37575757575758
office2_660_82_aout,6550.4,6.578955256e-05,198.4969696969697
office2_660_82_bout,6501.4,4.468987024e-05,197.0121212121212
office2_960_0,6729.6,7.125037708000001e-05,203.92727272727274
office2_960_164_aout,6017.0,6.321245274000001e-05,182.33333333333334
office2_960_164_bout,6068.8,8.507603042000001e-05,183.9030303030303
office2_960_246_aout,7001.4,0.00011167291516,212.16363636363636
office2_960_246_bout,7064.2,0.00011053822312000002,214.06666666666666
office2_960_82_aout,6422.0,6.470166254e-05,194.6060606060606
office2_960_82_bout,6090.8,7.775803978000001e-05,184.56969696969696
office16_0_0,6240.0,5.476272490000001e-05,138.66666666666666
office16_0_164_aout,5862.0,7.295247276e-05,130.2666666666667
office16_0_164_bout,6302.2,6.40390637e-05,140.0488888888889
office16_0_246_aout,6849.4,7.184989524e-05,152.2088888888889
office16_0_246_bout,6450.0,5.16812106e-05,143.33333333333331
office16_0_82_aout,6082.4,6.330808682e-05,135.16444444444443
office16_0_82_bout,7139.8,6.206607724000001e-05,158.6622222222222
office16_360_0,4900.6,5.765249887999999e-05,108.9022222222222
office16_360_164_aout,5606.4,7.175956038e-05,124.58666666666666
office16_360_164_bout,5380.2,6.2904258732e-05,119.55999999999999
office16_360_246_aout,6033.0,7.57813177e-05,134.06666666666666
office16_360_246_bout,5200.8,5.9416771919999995e-05,115.57333333333334
office16_360_82_aout,5453.2,5.9046507859999995e-05,121.18222222222224
office16_360_82_bout,5565.6,6.032032034e-05,123.67999999999999
office16_660_0,6142.8,6.246282789999999e-05,136.5066666666667
office16_660_164_aout,5584.0,7.4165441e-05,124.08888888888889
office16_660_164_bout,5091.2,5.1079575479999995e-05,113.13777777777777
office16_660_246_aout,6268.0,8.94868448e-05,139.28888888888886
office16_660_246_bout,6058.2,6.91897221e-05,134.62666666666667
office16_660_82_aout,5551.2,5.211769418e-05,123.35999999999999
office16_660_82_bout,5723.0,5.024550482e-05,127.17777777777778
office16_960_0,6667.2,6.393752444e-05,148.16000000000003
office16_960_164_aout,6083.6,7.45126545e-05,135.1911111111111
office16_960_164_bout,6483.8,8.140172506000001e-05,144.08444444444444
office16_960_246_aout,7339.8,0.00010130096268,163.10666666666665
office16_960_246_bout,6585.6,8.461465908000001e-05,146.34666666666664
office16_960_82_aout,6865.0,8.021923558e-05,152.55555555555557
office16_960_82_bout,6385.2,8.504829392000001e-05,141.89333333333332
office22_0_0,5004.8,6.142759014e-05,90.58461538461539
office22_0_164_aout,5174.6,3.618272384e-05,93.6579185520362
office22_0_164_bout,6553.2,6.590670588e-05,118.60995475113123
office22_0_246_aout,5486.2,5.453130288e-05,99.29773755656109
office22_0_246_bout,6567.4,6.338061436e-05,118.86696832579187
office22_0_82_aout,6263.4,5.328618717999999e-05,113.36470588235295
office22_0_82_bout,5143.6,4.2942772779999995e-05,93.09683257918553
office22_360_0,3328.8,2.2078415492e-05,60.24977375565611
office22_360_164_aout,3687.6,2.8374175776e-05,66.74389140271494
office22_360_164_bout,4913.8,4.240016897000001e-05,88.93755656108597
office22_360_246_aout,4151.0,3.2503402340000004e-05,75.13122171945702
office22_360_246_bout,4365.0,3.6194256259999995e-05,79.00452488687782
office22_360_82_aout,4811.2,3.3080644439999996e-05,87.08054298642533
office22_360_82_bout,2929.8,2.3833455798e-05,53.028054298642544
office22_660_0,3865.4,3.370787397999999e-05,69.96199095022624
office22_660_164_aout,4091.8,4.6058514011999995e-05,74.05972850678732
office22_660_164_bout,4805.6,5.8090648219999997e-05,86.979185520362
office22_660_246_aout,4749.4,3.824846736e-05,85.96199095022624
office22_660_246_bout,4708.6,5.357522713999999e-05,85.2235294117647
office22_660_82_aout,3281.0,2.6504582724000003e-05,59.384615384615394
office22_660_82_bout,3982.8,4.5124764992e-05,72.0868778280543
office22_960_0,4814.6,5.620705747999999e-05,87.1420814479638
office22_960_164_aout,4877.4,5.2038148079999996e-05,88.27873303167421
office22_960_164_bout,5013.4,6.082982975999999e-05,90.74027149321267
office22_960_246_aout,4828.0,5.7739573899999996e-05,87.38461538461539
office22_960_246_bout,5582.4,6.98800297e-05,101.03891402714933
office22_960_82_aout,3935.2,6.154576837999999e-05,71.22533936651584
office22_960_82_bout,4662.0,6.764485501999998e-05,84.38009049773756
office15_0_0,4674.8,5.005156564e-05,111.3047619047619
office15_0_164_aout,5474.0,6.148461072e-05,130.33333333333334
office15_0_164_bout,5810.8,6.799286996e-05,138.35238095238097
office15_0_246_aout,6561.4,8.412722246e-05,156.22380952380954
office15_0_246_bout,4876.8,5.2052189100000004e-05,116.11428571428571
office15_0_82_aout,5701.8,6.839264898e-05,135.75714285714284
office15_0_82_bout,4905.0,5.587336054000001e-05,116.78571428571429
office15_360_0,4855.8,4.2741871221999996e-05,115.61428571428571
office15_360_164_aout,5388.4,4.909013014e-05,128.2952380952381
office15_360_164_bout,4452.0,5.467643870799999e-05,106.0
office15_360_246_aout,5562.0,4.6907833379999995e-05,132.42857142857142
office15_360_246_bout,4667.6,6.895593466400001e-05,111.13333333333333
office15_360_82_aout,5645.4,4.7655443079999994e-05,134.4142857142857
office15_360_82_bout,4555.4,4.295504514e-05,108.46190476190478
office15_660_0,5674.8,5.6373904078e-05,135.1142857142857
office15_660_164_aout,6348.8,5.6551616939999997e-05,151.16190476190474
office15_660_164_bout,5379.4,5.0159347208e-05,128.0809523809524
office15_660_246_aout,5972.2,6.505591746e-05,142.1952380952381
office15_660_246_bout,5739.2,7.239647208e-05,136.64761904761906
office15_660_82_aout,5868.2,6.058259902000001e-05,139.71904761904761
office15_660_82_bout,5671.4,5.603903158e-05,135.03333333333336
