casename,num_floating,volume[ml]
office16_0_0_A,7820,4.715463e-05
office16_0_0_B,6904,7.28525192e-05
office16_0_0_C,7452,3.92352631e-05
office16_0_0_D,7633,4.70068444e-05
office16_0_0_E,7522,7.09768283e-05
office16_0_164_aout_A,7776,0.000103084669
office16_0_164_aout_B,6004,4.89865233e-05
office16_0_164_aout_C,8013,0.000106251529
office16_0_164_aout_D,7650,8.50411161e-05
office16_0_164_aout_E,7998,7.82935022e-05
office16_0_164_bout_A,7602,6.6947061e-05
office16_0_164_bout_B,7711,5.83518595e-05
office16_0_164_bout_C,7646,5.34887549e-05
office16_0_164_bout_D,7924,5.44940704e-05
office16_0_164_bout_E,6952,6.94105111e-05
office16_0_246_aout_A,6955,0.000130022236
office16_0_246_aout_B,6497,4.72997272e-05
office16_0_246_aout_C,8088,8.44281458e-05
office16_0_246_aout_D,7521,0.000102128353
office16_0_246_aout_E,8713,0.00015594803
office16_0_246_bout_A,6642,5.55442566e-05
office16_0_246_bout_B,6896,5.63626127e-05
office16_0_246_bout_C,7574,3.76380885e-05
office16_0_246_bout_D,7843,6.43727981e-05
office16_0_246_bout_E,7783,6.19753919e-05
office16_0_82_aout_A,7192,6.03489898e-05
office16_0_82_aout_B,6430,5.30615434e-05
office16_0_82_aout_C,8100,6.89875233e-05
office16_0_82_aout_D,8371,0.000114527516
office16_0_82_aout_E,8228,8.35163155e-05
office16_0_82_bout_A,7549,6.12944568e-05
office16_0_82_bout_B,6749,6.39248028e-05
office16_0_82_bout_C,8037,6.16045436e-05
office16_0_82_bout_D,7599,6.31759685e-05
office16_0_82_bout_E,7378,6.32986703e-05
office16_360_0_A,8087,0.000113579663
office16_360_0_B,7318,7.54046196e-05
office16_360_0_C,5848,4.7040503e-05
office16_360_0_D,6970,8.43506132e-05
office16_360_0_E,6540,5.6994737e-05
office16_360_164_aout_A,7088,0.000110543682
office16_360_164_aout_B,6538,5.84575937e-05
office16_360_164_aout_C,5089,3.06240654e-05
office16_360_164_aout_D,7065,0.000122808458
office16_360_164_aout_E,5989,4.51560445e-05
office16_360_164_bout_A,7961,0.000132943998
office16_360_164_bout_B,7695,9.88374013e-05
office16_360_164_bout_C,4644,2.37858785e-05
office16_360_164_bout_D,7204,7.28434607e-05
office16_360_164_bout_E,5550,6.54984688e-05
office16_360_246_aout_A,6839,9.84437138e-05
office16_360_246_aout_B,5540,5.27985103e-05
office16_360_246_aout_C,4992,4.4283137e-05
office16_360_246_aout_D,6877,0.00013406598
office16_360_246_aout_E,4533,4.32882844e-05
office16_360_246_bout_A,7246,0.000114242699
office16_360_246_bout_B,7162,6.67767381e-05
office16_360_246_bout_C,4494,4.8580343e-05
office16_360_246_bout_D,6323,8.4029256e-05
office16_360_246_bout_E,6227,8.74265897e-05
office16_360_82_aout_A,7881,0.000101909158
office16_360_82_aout_B,6860,6.59928264e-05
office16_360_82_aout_C,5500,4.1616433e-05
office16_360_82_aout_D,7189,0.000114169467
office16_360_82_aout_E,4833,4.8871294e-05
office16_360_82_bout_A,8111,9.57355151e-05
office16_360_82_bout_B,7344,7.02286416e-05
office16_360_82_bout_C,5775,3.88157314e-05
office16_360_82_bout_D,7551,0.000140743534
office16_360_82_bout_E,3996,5.53901009e-05
