casename,num_floating,volume[ml]
office16_0_0,7466.2,5.5445216999999995e-05
office16_0_164_aout,7488.2,8.433146792e-05
office16_0_164_bout,7567.0,6.0538451379999996e-05
office16_0_246_aout,7554.8,0.0001039652984
office16_0_246_bout,7347.6,5.5178629560000004e-05
office16_0_82_aout,7664.2,7.60883776e-05
office16_0_82_bout,7462.4,6.26596884e-05
office16_360_0,6952.6,7.547402715999999e-05
office16_360_164_aout,6353.8,7.351796872000002e-05
office16_360_164_bout,6610.8,7.878184146e-05
office16_360_246_aout,5756.2,7.45759251e-05
office16_360_246_bout,6290.4,8.021112516000001e-05
office16_360_82_aout,6452.6,7.451183567999999e-05
office16_360_82_bout,6555.4,8.01827046e-05
office16_660_0,6639.2,7.802027466e-05
office16_660_164_aout,6755.8,0.00010215113294
office16_660_164_bout,6160.6,7.616155637999999e-05
office16_660_246_aout,6066.0,8.497949012e-05
office16_660_246_bout,6410.2,8.352526062e-05
office16_660_82_aout,6795.4,7.737386188e-05
office16_660_82_bout,6308.6,7.715682304e-05
office16_960_0,5916.2,7.403941064e-05
office16_960_164_aout,5934.4,7.730472612e-05
office16_960_164_bout,6032.8,8.28129335e-05
office16_960_246_aout,5627.4,9.081011946e-05
office16_960_246_bout,5791.0,8.36305131e-05
office16_960_82_aout,6036.4,8.406581988000001e-05
office16_960_82_bout,5972.0,8.501430352e-05
office1_0_0,6812.6,6.581729755999999e-05
office1_0_123_aout,7445.8,6.78023367e-05
office1_0_123_bout,7340.0,6.14118315e-05
office1_0_164_aout,7522.6,7.124801204e-05
office1_0_164_bout,6940.6,7.012934071999999e-05
office1_0_205_aout,7676.0,6.949726632e-05
office1_0_205_bout,7612.2,7.352040055999999e-05
office1_0_246_aout,7655.8,7.016667882e-05
office1_0_246_bout,7638.4,7.818322486000001e-05
office1_0_41_aout,7132.8,6.369838666e-05
office1_0_41_bout,7759.8,6.725199857999999e-05
office1_0_82_aout,6495.6,5.486994811999999e-05
office1_0_82_bout,6940.2,6.300630411999999e-05
office1_660_0,5591.2,7.160029572000001e-05
office1_660_123_aout,6548.2,8.25137052e-05
office1_660_123_bout,6366.4,8.179801242e-05
office1_660_164_aout,6263.6,8.086038136000001e-05
office1_660_164_bout,6200.6,8.027714836e-05
office1_660_205_aout,6310.0,7.389769676e-05
office1_660_205_bout,5547.4,6.347569942e-05
office1_660_246_aout,6434.8,8.928668744e-05
office1_660_246_bout,6693.4,8.681468030000001e-05
office1_660_41_aout,7132.8,8.615983896000001e-05
office1_660_41_bout,5723.0,5.8709286899999997e-05
office1_660_82_aout,5092.2,6.975362914e-05
office1_660_82_bout,7451.0,7.224878716e-05
office1_960_0,6881.6,5.961881542e-05
office1_960_123_aout,5831.8,8.324795915999998e-05
office1_960_123_bout,6455.0,8.443794284e-05
office1_960_164_aout,6027.4,7.299205127999999e-05
office1_960_164_bout,5760.0,6.909592548e-05
office1_960_205_aout,5272.2,6.249489887999999e-05
office1_960_205_bout,5006.4,6.542006674e-05
office1_960_246_aout,5597.8,7.385980063999999e-05
office1_960_246_bout,5900.8,6.4955251656e-05
office1_960_41_aout,5239.2,6.3863358078e-05
office1_960_41_bout,5895.8,7.724810625999999e-05
office1_960_82_aout,6321.6,6.836647298e-05
office1_960_82_bout,5398.2,8.438041884e-05
office4_0_0,6488.8,5.64540991e-05
office4_0_164_aout,5261.8,5.2701725500000004e-05
office4_0_164_bout,6073.2,6.224796742e-05
office4_0_246_aout,6371.0,6.144512518e-05
office4_0_246_bout,5940.0,4.934380739999999e-05
office4_0_82_aout,6947.0,6.883295864e-05
office4_0_82_bout,5710.2,3.8719043e-05
office4_360_0,6042.4,6.077405414000001e-05
office4_360_164_aout,5506.6,6.306425202e-05
office4_360_164_bout,6332.0,5.2516775019999996e-05
