casename,num_drop,volume[ml],RoI
office15_0_0,3873.0,4.37810617e-05,92.21428571428571
office15_0_164_aout,4573.8,5.20407695e-05,108.9
office15_0_164_bout,5143.2,6.275589468e-05,122.45714285714284
office15_0_246_aout,5678.0,7.854902284e-05,135.1904761904762
office15_0_246_bout,4134.2,4.712889388e-05,98.43333333333332
office15_0_82_aout,5100.6,5.9052730720000014e-05,121.44285714285714
office15_0_82_bout,3723.8,4.0869082655999996e-05,88.66190476190476
office15_360_0,4187.8,3.7088459068e-05,99.7095238095238
office15_360_164_aout,4034.0,4.0761722362e-05,96.04761904761905
office15_360_164_bout,3853.0,4.9750441848e-05,91.73809523809523
office15_360_246_aout,4637.8,3.8676397347999996e-05,110.42380952380952
office15_360_246_bout,3944.4,6.2342409808e-05,93.91428571428571
office15_360_82_aout,4019.4,3.3385410785999996e-05,95.7
office15_360_82_bout,3482.4,3.715899182e-05,82.91428571428571
office15_660_0,4403.6,4.8997022364e-05,104.84761904761903
office15_660_164_aout,5632.0,5.0387288119999996e-05,134.09523809523813
office15_660_164_bout,4983.0,4.6249050577999997e-05,118.64285714285715
office15_660_246_aout,4937.6,5.273983328e-05,117.56190476190477
office15_660_246_bout,5271.8,6.853698204e-05,125.51904761904761
office15_660_82_aout,5061.2,5.4114460359999996e-05,120.5047619047619
office15_660_82_bout,4472.4,4.634717698e-05,106.4857142857143
office15_960_0,5349.0,6.636272004e-05,127.35714285714285
office15_960_164_aout,5360.8,4.544710392e-05,127.63809523809523
office15_960_164_bout,5380.0,7.001043928e-05,128.0952380952381
office15_960_246_aout,5811.4,6.929071969999999e-05,138.36666666666665
office15_960_246_bout,5209.8,6.332847632e-05,124.04285714285716
office15_960_82_aout,4731.6,6.223874372e-05,112.65714285714284
office15_960_82_bout,5084.0,4.8815033360000003e-05,121.04761904761904
office1_0_0,5409.6,5.638676958e-05,163.92727272727274
office1_0_123_aout,5727.4,5.3241024219999996e-05,173.55757575757576
office1_0_123_bout,4762.2,4.985124562e-05,144.3090909090909
office1_0_164_aout,5459.2,6.559278111999999e-05,165.43030303030304
office1_0_164_bout,5600.8,4.727796186e-05,169.7212121212121
office1_0_205_aout,6844.0,7.069729252e-05,207.3939393939394
office1_0_205_bout,5785.4,5.7026046860000004e-05,175.3151515151515
office1_0_246_aout,5845.8,5.967664975999999e-05,177.14545454545456
office1_0_246_bout,6284.2,5.853553596e-05,190.43030303030304
office1_0_41_aout,5640.8,3.8274310640000003e-05,170.93333333333334
office1_0_41_bout,6332.0,4.814806382e-05,191.87878787878788
office1_0_82_aout,4233.8,3.685714055e-05,128.2969696969697
office1_0_82_bout,5525.0,4.958902574e-05,167.4242424242424
office1_660_0,3809.8,4.0317734222e-05,115.44848484848485
office1_660_123_aout,4373.8,4.3915955759999995e-05,132.53939393939393
office1_660_123_bout,4426.6,5.5770853885999996e-05,134.13939393939395
office1_660_164_aout,3850.0,4.6449133880000004e-05,116.66666666666666
office1_660_164_bout,3393.2,4.4694901600000004e-05,102.82424242424243
office1_660_205_aout,2670.0,3.335538822e-05,80.9090909090909
office1_660_205_bout,5113.2,5.032502412e-05,154.94545454545454
office1_660_246_aout,5007.0,4.7671637e-05,151.72727272727272
office1_660_246_bout,3416.0,3.978886834e-05,103.5151515151515
office1_660_41_aout,5439.4,5.0654611199999994e-05,164.830303030303
office1_660_41_bout,3777.0,3.681192464000001e-05,114.45454545454547
office1_660_82_aout,3526.4,2.6086961040000002e-05,106.86060606060605
office1_660_82_bout,5778.2,4.5125828012e-05,175.09696969696967
office1_960_0,5649.0,4.319481668e-05,171.1818181818182
office1_960_123_aout,5063.4,6.807214948e-05,153.43636363636364
office1_960_123_bout,5160.6,8.156831472e-05,156.38181818181818
office1_960_164_aout,4165.2,3.952857408e-05,126.21818181818182
office1_960_164_bout,4903.2,5.351079163999999e-05,148.5818181818182
office1_960_205_aout,4812.8,4.353601472e-05,145.84242424242424
office1_960_205_bout,4405.4,4.647286734199999e-05,133.4969696969697
office1_960_246_aout,4661.8,4.7702870139999996e-05,141.26666666666668
office1_960_246_bout,6521.4,6.8341881662e-05,197.61818181818182
office1_960_41_aout,4403.2,5.0657307374e-05,133.43030303030304
office1_960_41_bout,6348.4,6.431297005999998e-05,192.37575757575758
office1_960_82_aout,4959.6,4.8973555380000005e-05,150.29090909090908
office1_960_82_bout,4954.0,7.181322005999999e-05,150.12121212121212
office10_0_0,5536.0,4.2969059359999997e-05,131.8095238095238
office10_0_164_aout,6136.4,5.9378382139999995e-05,146.10476190476192
office10_0_164_bout,4567.2,5.5775257680000005e-05,108.74285714285713
