casename,num_drop,volume[ml],RoI
office3_0_0,4394.4,2.8604130059999997e-05,133.16363636363636
office3_0_164_aout,5171.8,4.079959144e-05,156.7212121212121
office3_0_164_bout,3693.0,3.252381592e-05,111.90909090909092
office3_0_246_aout,4487.8,3.5047925839999994e-05,135.9939393939394
office3_0_246_bout,4645.2,4.00247529e-05,140.76363636363638
office3_0_82_aout,4171.2,3.3281943260000004e-05,126.4
office3_0_82_bout,3562.6,2.9944838000000002e-05,107.95757575757575
office3_360_0,5479.8,3.7775983939999996e-05,166.05454545454546
office3_360_164_aout,4760.2,4.6959608139999996e-05,144.24848484848485
office3_360_164_bout,4711.0,3.5873642640000005e-05,142.75757575757575
office3_360_246_aout,4914.6,4.241836506e-05,148.9272727272727
office3_360_246_bout,4437.4,4.210180996e-05,134.46666666666664
office3_360_82_aout,4621.8,5.4185452599999996e-05,140.05454545454546
office3_360_82_bout,4211.8,4.689508132e-05,127.63030303030303
office3_660_0,4262.4,3.1887217101999994e-05,129.16363636363639
office3_660_164_aout,6694.6,3.8126567800000004e-05,202.86666666666665
office3_660_164_bout,4799.4,3.556381161999999e-05,145.43636363636364
office3_660_246_aout,5254.4,5.9888347479999994e-05,159.2242424242424
office3_660_246_bout,4848.2,4.39927251e-05,146.9151515151515
office3_660_82_aout,5288.8,5.458150622e-05,160.26666666666665
office3_660_82_bout,6256.4,2.9992560659999997e-05,189.5878787878788
office3_960_0,5725.4,4.332656752e-05,173.4969696969697
office3_960_164_aout,6872.8,4.6683338939999995e-05,208.2666666666667
office3_960_164_bout,5072.6,5.652109392e-05,153.7151515151515
office3_960_246_aout,7060.8,5.326669854e-05,213.96363636363634
office3_960_246_bout,6740.4,5.593294336e-05,204.25454545454548
office3_960_82_aout,5378.0,3.922333452e-05,162.96969696969694
office3_960_82_bout,5610.0,4.80976883e-05,170.0
office10_0_0,2786.4,2.344315618e-05,66.34285714285714
office10_0_164_aout,5595.2,4.11212437e-05,133.21904761904761
office10_0_164_bout,4819.2,4.139280262e-05,114.74285714285716
office10_0_246_aout,6437.2,3.216200094e-05,153.26666666666668
office10_0_246_bout,5588.8,4.230030754e-05,133.06666666666666
office10_0_82_aout,4121.8,3.3369893200000005e-05,98.13809523809525
office10_0_82_bout,4989.0,4.208582122e-05,118.78571428571426
office10_360_0,3771.4,2.4948430466e-05,89.79523809523809
office10_360_164_aout,2144.2,3.258831512e-05,51.05238095238095
office10_360_164_bout,2127.0,1.9241997954e-05,50.642857142857146
office10_360_246_aout,2561.2,2.765860973e-05,60.98095238095239
office10_360_246_bout,3084.8,4.773701774e-05,73.44761904761904
office10_360_82_aout,1855.4,3.114739119e-05,44.17619047619047
office10_360_82_bout,2466.8,2.0251541168e-05,58.73333333333333
office10_660_0,1052.6,1.3123708658000001e-05,25.06190476190476
office10_660_164_aout,1810.4,1.4751976559999998e-05,43.10476190476191
office10_660_164_bout,2316.4,2.1966787470000004e-05,55.15238095238095
office10_660_246_aout,3018.2,4.962133251200001e-05,71.86190476190475
office10_660_246_bout,1478.8,1.3430792576e-05,35.20952380952381
office10_660_82_aout,1674.4,1.2655563108000001e-05,39.86666666666667
office10_660_82_bout,1584.6,2.0081952600000004e-05,37.72857142857142
office10_960_0,3333.2,3.27918653e-05,79.36190476190475
