casename,num_drop,volume[ml],RoI
office3_0_0_A,2909,1.61222451e-05,88.15151515151516
office3_0_164_aout_A,5390,5.67989482e-05,163.33333333333334
office3_0_164_bout_A,3824,4.29181273e-05,115.87878787878788
office3_0_246_aout_A,4696,2.22476283e-05,142.3030303030303
office3_0_246_bout_A,3590,3.31396368e-05,108.78787878787878
office3_0_82_aout_A,3612,2.29984526e-05,109.45454545454545
office3_0_82_bout_A,3421,2.29193174e-05,103.66666666666667
office3_660_0_A,2242,3.25679721e-05,67.93939393939394
office3_660_164_aout_A,7257,1.43591751e-05,219.9090909090909
office3_660_164_bout_A,5094,4.44068319e-05,154.36363636363637
office3_660_246_aout_A,5202,7.18206938e-05,157.63636363636363
office3_660_246_bout_A,7651,6.83271574e-05,231.84848484848484
office3_660_82_aout_A,5563,0.000100087338,168.57575757575756
office3_660_82_bout_A,2512,1.98173548e-05,76.12121212121212
office3_960_0_A,5579,1.51033828e-05,169.06060606060606
office3_960_164_aout_A,6815,2.78033785e-05,206.5151515151515
office3_960_164_bout_A,6290,9.22211329e-05,190.6060606060606
office3_960_246_aout_A,7088,4.23003403e-05,214.78787878787878
office3_960_246_bout_A,8327,5.42574344e-05,252.33333333333334
office3_960_82_aout_A,5033,2.15279451e-05,152.5151515151515
office3_960_82_bout_A,3972,8.995401e-05,120.36363636363636
office3_360_0_A,4500,1.97651625e-05,136.36363636363637
office3_360_82_aout_A,4998,9.30234819e-05,151.45454545454547
office3_360_82_bout_A,3900,4.34557551e-05,118.18181818181819
office3_360_164_aout_A,4446,4.20936194e-05,134.72727272727272
office3_360_164_bout_A,2948,3.24401772e-05,89.33333333333333
office3_360_246_aout_A,4481,4.82622163e-05,135.78787878787878
office3_360_246_bout_A,3674,2.56691856e-05,111.33333333333333
office3_0_0_B,4067,2.23817897e-05,123.24242424242425
office3_0_164_aout_B,4613,3.87714717e-05,139.78787878787878
office3_0_164_bout_B,3583,2.60407796e-05,108.57575757575758
office3_0_246_aout_B,5541,5.30115649e-05,167.9090909090909
office3_0_246_bout_B,4643,6.85381019e-05,140.6969696969697
office3_0_82_aout_B,3419,3.84385385e-05,103.60606060606061
office3_0_82_bout_B,2814,3.44935142e-05,85.27272727272727
office3_660_0_B,1460,5.38820996e-06,44.24242424242424
office3_660_164_aout_B,6738,5.52570309e-05,204.1818181818182
office3_660_164_bout_B,5052,2.49623081e-05,153.0909090909091
office3_660_246_aout_B,872,7.32904082e-05,26.424242424242426
office3_660_246_bout_B,2652,1.54261415e-05,80.36363636363636
office3_660_82_aout_B,3190,3.41817286e-05,96.66666666666667
office3_660_82_bout_B,7433,4.07784282e-05,225.24242424242425
office3_960_0_B,7326,7.47067897e-05,222.0
office3_960_164_aout_B,6827,6.29560309e-05,206.87878787878788
office3_960_164_bout_B,3841,3.51089075e-05,116.39393939393939
office3_960_246_aout_B,7276,6.33039381e-05,220.4848484848485
office3_960_246_bout_B,5659,8.15225358e-05,171.4848484848485
office3_960_82_aout_B,3573,5.75768536e-05,108.27272727272727
office3_960_82_bout_B,4836,2.89713771e-05,146.54545454545453
office3_360_0_B,5031,3.47526438e-05,152.45454545454547
office3_360_82_aout_B,3613,5.23529088e-05,109.48484848484848
office3_360_82_bout_B,3535,4.54208712e-05,107.12121212121212
office3_360_164_aout_B,2874,4.05398168e-05,87.0909090909091
office3_360_164_bout_B,5219,3.49283437e-05,158.15151515151516
office3_360_246_aout_B,3732,1.94339154e-05,113.0909090909091
office3_360_246_bout_B,4367,3.9452374e-05,132.33333333333334
office3_0_0_C,4238,4.14446331e-05,128.42424242424244
office3_0_164_aout_C,3727,2.66410971e-05,112.93939393939394
office3_0_164_bout_C,3789,3.1811087e-05,114.81818181818181
office3_0_246_aout_C,2552,2.34833642e-05,77.33333333333333
office3_0_246_bout_C,2982,2.55698924e-05,90.36363636363636
office3_0_82_aout_C,3863,3.25135406e-05,117.06060606060606
office3_0_82_bout_C,2981,3.27913549e-05,90.33333333333333
office3_660_0_C,3993,6.01939537e-05,121.0
office3_660_164_aout_C,6154,2.28848567e-05,186.4848484848485
office3_660_164_bout_C,3188,3.61896418e-05,96.60606060606061
office3_660_246_aout_C,5596,2.57549145e-05,169.57575757575756
office3_660_246_bout_C,5441,7.65478617e-05,164.87878787878788
office3_660_82_aout_C,7239,3.19620558e-05,219.36363636363637
office3_660_82_bout_C,6464,2.44737166e-05,195.87878787878788
office3_960_0_C,6282,4.63438992e-05,190.36363636363637
office3_960_164_aout_C,7449,2.33234477e-05,225.72727272727272
office3_960_164_bout_C,4276,5.73714278e-05,129.57575757575756
office3_960_246_aout_C,6529,7.18322844e-05,197.84848484848484
office3_960_246_bout_C,5179,5.25628238e-05,156.93939393939394
office3_960_82_aout_C,7641,4.99268353e-05,231.54545454545453
office3_960_82_bout_C,6878,3.94050548e-05,208.42424242424244
office3_360_0_C,3744,3.64059597e-05,113.45454545454545
office3_360_82_aout_C,4134,3.63181243e-05,125.27272727272727
office3_360_82_bout_C,2533,3.48727408e-05,76.75757575757575
office3_360_164_aout_C,4634,3.75810523e-05,140.42424242424244
office3_360_164_bout_C,3741,3.54837066e-05,113.36363636363636
office3_360_246_aout_C,3756,3.47921559e-05,113.81818181818181
office3_360_246_bout_C,3116,4.37475937e-05,94.42424242424242
office3_0_0_D,5004,2.75233524e-05,151.63636363636363
office3_0_164_aout_D,3430,2.95501541e-05,103.93939393939394
office3_0_164_bout_D,2618,1.42670306e-05,79.33333333333333
office3_0_246_aout_D,2903,2.34789877e-05,87.96969696969697
office3_0_246_bout_D,5336,3.43403772e-05,161.6969696969697
office3_0_82_aout_D,3887,2.62421199e-05,117.78787878787878
office3_0_82_bout_D,3106,2.66355291e-05,94.12121212121212
office3_660_0_D,4850,3.76058015e-05,146.96969696969697
office3_660_164_aout_D,5401,5.84118388e-05,163.66666666666666
office3_660_164_bout_D,2831,9.64169067e-06,85.78787878787878
office3_660_246_aout_D,5696,9.23045227e-05,172.6060606060606
office3_660_246_bout_D,1936,2.67911382e-05,58.666666666666664
office3_660_82_aout_D,5657,5.79184853e-05,171.42424242424244
office3_660_82_bout_D,6699,3.8897655e-05,203.0
office3_960_0_D,2778,1.21892072e-05,84.18181818181819
office3_960_164_aout_D,3979,4.02433652e-05,120.57575757575758
office3_960_164_bout_D,2759,4.86126337e-05,83.60606060606061
office3_960_246_aout_D,6133,4.95774075e-05,185.84848484848484
office3_960_246_bout_D,6117,4.22418889e-05,185.36363636363637
