0_0,0_123_aout,0_123_bout,0_164_aout,0_164_bout,0_205_aout,0_205_bout,0_246_aout,0_246_bout,0_41_aout,0_41_bout,0_82_aout,0_82_bout,660_0,660_123_aout,660_123_bout,660_164_aout,660_164_bout,660_205_aout,660_205_bout,660_246_aout,660_246_bout,660_41_aout,660_41_bout,660_82_aout,660_82_bout,960_0,960_123_aout,960_123_bout,960_164_aout,960_164_bout,960_205_aout,960_205_bout,960_246_aout,960_246_bout,960_41_aout,960_41_bout,960_82_aout,960_82_bout
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
76.4,79.4,82.4,80.0,77.4,93.4,75.0,123.0,78.6,88.8,79.2,80.0,98.6,76.0,80.6,85.6,87.4,81.6,78.8,89.6,151.8,75.8,72.2,72.8,78.8,83.8,81.2,86.8,95.2,84.4,81.4,230.2,84.0,239.4,81.6,83.0,80.8,84.2,81.6
0.6,1.6,2.6,1.4,3.8,0.8,0.8,122.2,1.0,0.8,4.4,0.8,1.0,6.0,1.4,4.4,5.2,1.6,1.0,2.4,3.2,0.8,0.0,0.4,3.0,8.2,0.6,3.2,5.6,4.0,1.8,46.8,3.6,28.2,7.2,0.8,2.4,3.0,1.0
0.2,0.8,1.6,0.4,2.6,0.0,0.0,33.4,0.2,0.0,2.4,0.0,0.4,0.4,1.0,3.0,0.2,0.2,0.0,1.6,5.4,0.2,0.0,0.2,1.8,4.0,0.0,0.6,4.4,2.6,1.2,0.2,1.0,3.0,4.0,0.2,1.6,0.4,0.4
0.2,0.6,0.2,0.2,2.4,0.0,0.0,3.6,0.0,0.0,2.4,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.4,2.6,0.0,0.0,0.2,1.4,2.0,0.0,0.0,3.2,1.4,1.2,0.2,0.2,0.8,4.0,0.0,1.2,0.2,0.2
0.2,0.6,0.0,0.2,2.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.8,1.4,1.2,0.2,0.2,0.8,4.0,0.0,0.8,0.2,0.0
0.2,0.6,0.0,0.2,2.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4,1.2,0.2,0.2,0.6,4.0,0.0,0.2,0.0,0.0
0.2,0.6,0.0,0.0,2.2,0.0,10.2,0.0,0.0,17.8,1.8,0.0,1.6,0.0,0.4,0.2,0.0,0.2,0.0,2.4,0.0,14.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,0.2,0.2,0.2,726.4,4.0,0.0,0.0,0.0,0.0
0.2,0.6,0.0,0.0,133.4,0.0,287.0,58.4,32.8,158.2,1.8,0.8,175.4,0.0,26.6,36.2,0.0,0.2,1095.2,7.0,79.4,97.6,0.0,0.8,0.0,94.8,2.6,0.0,0.0,1.2,0.0,0.0,0.4,814.4,23.8,42.4,866.8,0.0,33.6
477.8,0.6,10.2,66.4,1202.4,281.0,1651.6,329.2,71.2,232.0,123.4,309.4,235.0,1199.8,212.4,364.8,1.0,0.8,1127.4,49.4,226.8,239.8,0.0,3.6,1.4,145.6,205.0,5.4,0.0,1.2,166.0,0.0,5.4,890.0,100.8,46.0,923.2,31.0,43.2
