0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
102.4,92.8,106.2,101.0,96.4,97.6,109.8,106.2,92.0,107.4,111.2,101.8,92.8,104.2,96.6,101.2,93.2,89.2,103.6,92.2,94.2,99.4,98.4,113.2,100.0,89.6,112.6,94.0
8.2,2.6,4.0,5.4,7.8,5.4,15.6,7.2,0.6,1.2,7.2,3.2,3.2,2.6,4.4,6.6,2.6,1.2,3.2,2.6,3.4,8.0,3.6,6.0,2.0,3.2,8.2,4.6
2.8,0.4,0.4,1.0,3.6,3.2,11.4,2.6,0.2,0.2,2.2,1.4,1.2,1.0,3.0,4.2,0.8,0.2,1.0,1.2,2.0,3.0,2.4,2.6,1.2,0.4,4.4,2.0
1.4,0.4,0.2,0.6,3.2,1.4,6.8,2.4,0.0,0.0,0.8,1.0,0.8,0.0,2.6,1.8,0.4,0.2,0.4,0.6,1.8,2.8,0.8,1.4,0.2,0.0,3.2,0.8
1.4,0.4,0.0,0.4,1.4,0.8,6.6,2.4,0.0,0.0,0.6,1.0,0.6,0.4,1.6,0.8,0.4,0.2,0.4,0.6,1.4,2.6,0.0,0.8,0.0,0.0,2.8,0.6
1.8,0.4,0.0,111.6,5.0,0.8,18.8,2.6,0.0,2.8,146.6,44.4,0.6,6.4,66.0,0.4,0.2,0.4,0.4,0.6,1.0,26.0,0.0,7.4,0.4,0.2,11.8,0.6
64.8,172.6,33.2,342.2,40.2,55.0,66.4,90.6,2.0,165.2,310.2,283.0,132.8,10.8,170.4,77.2,9.0,34.6,2.0,1.0,68.4,134.6,16.8,163.8,18.0,12.2,63.0,16.4
167.4,329.8,119.0,581.6,120.6,139.6,170.8,196.0,27.0,216.2,470.0,370.2,363.4,72.2,274.6,140.4,79.4,154.6,34.4,12.4,207.0,198.8,118.4,234.6,47.2,143.4,155.6,40.2
246.4,437.2,243.2,701.6,292.4,208.2,371.4,322.4,101.0,334.2,555.6,435.4,479.6,311.4,338.6,244.0,154.8,238.0,89.6,66.0,252.2,232.6,251.8,284.2,99.0,283.4,255.8,75.2
312.4,556.2,331.8,799.6,457.0,270.4,435.8,426.6,196.6,421.0,619.2,485.4,596.6,564.6,386.2,375.6,201.6,310.6,147.2,167.4,326.0,278.0,361.8,306.0,157.2,461.0,346.6,98.8
359.6,706.2,425.6,914.0,564.8,393.0,514.4,485.0,303.2,462.0,693.8,519.4,668.2,718.4,439.0,441.0,251.0,363.0,210.4,243.2,401.8,334.8,446.0,355.6,223.0,583.8,394.0,141.4
404.2,844.2,490.4,1015.0,607.0,477.8,554.0,539.4,409.8,487.6,753.8,551.0,744.2,866.4,482.4,487.4,274.6,435.0,292.2,317.6,447.2,370.2,599.6,446.4,306.8,719.2,430.8,163.8
499.2,929.8,558.8,1094.2,652.4,547.6,607.6,593.0,500.4,535.2,819.2,591.8,822.2,1017.8,545.4,522.4,324.4,508.6,451.4,382.4,492.8,393.8,748.6,534.6,339.0,807.6,472.8,190.8
561.6,1019.2,664.0,1157.0,697.6,603.0,699.0,663.2,574.4,621.6,898.6,668.2,878.4,1116.2,630.0,571.0,371.4,542.8,551.8,498.2,535.8,429.2,902.4,588.2,346.2,876.6,479.4,221.2
629.2,1127.0,748.2,1229.4,744.0,658.4,756.6,705.0,656.6,681.0,942.8,754.0,924.4,1200.4,680.6,622.8,412.4,566.8,594.0,659.2,580.8,461.4,1001.6,627.6,357.0,885.2,493.2,286.2
689.4,1208.0,847.6,1260.6,803.4,703.8,815.0,794.6,714.6,737.0,965.6,815.4,989.8,1318.6,712.2,658.2,476.2,593.0,623.8,772.6,655.8,494.6,1060.4,658.6,395.6,918.2,503.2,338.4
752.4,1249.6,920.2,1312.4,855.6,729.6,862.2,875.0,766.2,781.4,991.4,866.4,1086.0,1437.2,735.8,690.4,538.6,621.8,656.4,860.2,742.4,516.8,1113.4,702.8,409.0,930.8,526.6,384.4
782.4,1303.8,965.8,1360.0,900.2,799.4,892.0,953.8,819.4,818.6,1030.4,915.8,1150.6,1538.6,764.8,728.4,581.0,654.2,681.4,946.0,794.0,532.0,1171.4,750.0,419.6,950.8,556.4,427.4
818.2,1361.8,992.2,1408.6,936.4,892.6,918.6,1020.6,871.0,856.4,1063.2,957.2,1208.0,1592.2,789.0,764.2,623.0,681.6,717.0,1022.4,845.2,547.0,1205.2,774.6,437.4,991.4,590.2,459.2
861.8,1419.6,1034.8,1446.2,965.6,941.6,946.0,1082.4,927.0,900.2,1099.2,994.8,1245.2,1643.2,810.8,810.4,665.6,723.4,757.4,1069.2,890.2,556.2,1238.0,802.8,452.0,1040.8,625.4,494.6
887.2,1483.0,1065.8,1489.6,1007.4,1008.2,964.0,1153.8,972.2,940.2,1133.2,1023.8,1265.6,1692.8,839.4,847.6,721.4,754.8,782.4,1111.2,936.6,572.8,1261.0,837.2,469.0,1073.6,656.4,522.8
903.4,1526.2,1094.6,1527.6,1059.2,1077.6,985.8,1194.2,1017.2,988.4,1159.2,1057.8,1285.0,1791.0,906.8,882.8,779.0,787.0,809.8,1146.4,987.4,591.8,1292.0,880.4,502.6,1103.6,692.6,553.0
913.2,1564.6,1131.2,1580.0,1099.2,1141.4,1017.8,1252.0,1046.4,1048.6,1194.0,1082.8,1304.0,1829.0,932.6,928.6,822.0,800.8,834.2,1194.8,1028.2,605.6,1329.0,906.6,530.0,1127.6,724.8,590.6
927.8,1602.2,1164.4,1615.8,1150.6,1177.0,1045.0,1300.0,1071.8,1097.0,1227.6,1106.4,1324.4,1858.4,958.8,965.8,869.4,830.2,861.4,1234.4,1060.2,621.2,1363.0,930.4,553.6,1149.4,769.0,613.8
