0_0_B,0_0_A,0_164_aout_A,0_164_bout_A,0_246_aout_A,0_246_bout_A,0_82_aout_A,0_82_bout_A,360_0_A,360_164_aout_A,360_164_bout_A,360_246_aout_A,360_246_bout_A,360_82_aout_A,360_82_bout_A,660_0_A,660_164_aout_A,660_164_bout_A,660_246_aout_A,660_246_bout_A,660_82_aout_A,660_82_bout_A,960_0_A,960_164_aout_A,960_164_bout_A,960_246_aout_A,960_246_bout_A,960_82_aout_A,960_82_bout_A,0_0_D,0_0_C,0_82_aout_B,0_82_bout_B,0_164_aout_B,0_164_bout_B,0_246_aout_B,0_246_bout_B,360_0_B,360_82_aout_B,360_82_bout_B,360_164_aout_B,360_164_bout_B,360_246_aout_B,360_246_bout_B,660_0_B,660_82_aout_B,660_82_bout_B,660_164_aout_B,660_164_bout_B,660_246_aout_B,660_246_bout_B,960_0_B,960_82_aout_B,960_82_bout_B,960_164_aout_B,960_164_bout_B,960_246_aout_B,960_246_bout_B,0_0_E,0_82_aout_C,0_82_bout_C,0_164_aout_C,0_164_bout_C,0_246_aout_C,0_246_bout_C,360_0_C,360_82_aout_C,360_82_bout_C,360_164_aout_C,360_164_bout_C,360_246_aout_C,360_246_bout_C,660_0_C,660_82_aout_C,660_82_bout_C,660_164_aout_C,660_164_bout_C,660_246_aout_C,660_246_bout_C,960_0_C,960_82_aout_C,960_82_bout_C,960_164_aout_C,960_164_bout_C,960_246_aout_C,960_246_bout_C,0_82_aout_D,0_82_bout_D,0_164_aout_D,0_164_bout_D,0_246_aout_D,0_246_bout_D,360_0_D,360_82_aout_D,360_82_bout_D,360_164_aout_D,360_164_bout_D,360_246_aout_D,360_246_bout_D,660_0_D,660_82_aout_D,660_82_bout_D,660_164_aout_D,660_164_bout_D,660_246_aout_D,660_246_bout_D,960_0_D,960_82_aout_D,960_82_bout_D,960_164_aout_D,960_164_bout_D,960_246_aout_D,960_246_bout_D,0_82_aout_E,0_82_bout_E,0_164_aout_E,0_164_bout_E,0_246_aout_E,0_246_bout_E,360_0_E,360_82_aout_E,360_82_bout_E,360_164_aout_E,360_164_bout_E,360_246_aout_E,360_246_bout_E,660_0_E,660_82_aout_E,660_82_bout_E,660_164_aout_E,660_164_bout_E,660_246_aout_E,660_246_bout_E,960_0_E,960_82_aout_E,960_82_bout_E,960_164_aout_E,960_164_bout_E,960_246_aout_E,960_246_bout_E
10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
114,95,76,99,100,91,92,121,83,72,82,121,74,104,84,97,89,73,74,106,89,75,73,91,88,84,89,132,96,133,85,86,135,85,122,115,113,121,90,108,93,101,106,105,92,95,104,121,90,92,101,122,97,90,86,117,94,100,85,84,84,99,77,81,93,83,77,109,96,114,81,90,83,92,81,81,84,79,82,84,76,86,82,83,99,80,117,114,97,117,121,102,106,98,99,103,108,131,121,108,93,98,111,109,103,127,115,123,92,131,114,124,85,109,95,107,116,88,83,138,95,121,96,132,117,119,103,92,113,104,110,98,102,103,135,106,102,164,99,94
12,6,3,12,12,17,3,36,3,1,2,7,3,10,0,12,15,0,0,3,5,0,0,1,7,6,14,7,0,23,0,0,30,2,0,6,19,12,0,0,0,1,4,0,0,0,6,11,1,3,1,7,7,3,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,4,0,0,0,0,0,1,0,2,0,0,0,1,17,10,4,2,9,2,2,3,0,1,3,23,3,6,0,1,6,0,2,6,20,13,2,5,11,2,0,7,1,3,6,0,0,19,3,13,1,0,2,9,2,4,10,1,12,1,6,12,14,16,11,12,2,0
4,4,0,0,2,1,1,34,1,1,0,1,0,2,0,12,10,0,0,0,3,0,0,0,1,4,1,0,0,6,0,0,18,0,0,0,15,2,0,0,0,0,2,0,0,0,1,11,1,0,0,0,4,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,3,1,1,1,0,0,1,6,0,1,0,0,0,0,0,1,14,5,0,1,7,0,0,7,0,2,2,0,0,9,3,5,0,0,2,7,1,1,9,0,3,1,4,1,13,7,11,5,2,0
4,3,0,0,2,1,1,31,0,0,0,1,0,2,0,11,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,14,0,0,0,4,0,0,3,0,2,1,0,0,9,1,0,0,0,1,5,0,0,9,0,2,1,2,0,13,4,4,2,1,0
4,3,0,0,2,1,1,30,0,0,0,0,0,2,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,13,0,0,0,3,0,0,3,0,2,0,0,0,9,0,0,0,0,1,5,0,0,7,0,2,1,2,0,12,3,0,1,0,0
3,2,0,0,505,1,1,30,0,0,14,727,0,2,1,7,0,0,1,0,2,0,29,0,0,0,0,6,0,4,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,63,0,0,53,0,1,0,31,0,0,5,0,323,1,0,0,0,0,0,0,39,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,217,0,0,0,0,0,0,0,101,0,0,0,36,0,1,3,0,2,0,0,0,9,0,0,0,0,1,5,0,0,5,0,1,1,2,0,12,3,0,1,0,0
100,173,579,0,1277,1,7,29,184,10,719,1100,617,407,11,27,301,44,129,0,5,237,143,3,92,0,0,98,79,51,0,73,0,21,1,0,144,27,0,4,0,107,33,0,0,0,100,85,0,0,8,0,22,0,0,0,0,0,0,0,214,31,0,280,0,18,0,39,0,0,218,0,825,0,0,0,0,0,0,0,183,0,15,0,90,0,193,89,231,157,154,56,215,257,0,0,0,199,793,0,0,0,0,0,43,0,530,0,0,9,726,0,61,2,0,1,8,0,0,9,0,0,0,0,1,5,0,0,5,0,1,1,2,0,12,3,57,1,0,0
252,261,842,0,1702,122,34,52,398,54,822,1186,817,796,126,330,399,264,261,4,44,594,172,44,258,15,319,109,132,252,72,144,52,188,165,24,204,259,0,33,0,250,141,0,48,0,438,303,132,0,164,0,219,66,0,0,52,50,0,46,501,129,0,545,61,20,0,46,81,9,439,0,995,1,0,0,0,6,0,0,438,0,73,10,169,0,472,249,489,412,637,216,294,1021,156,0,0,583,1030,0,17,0,0,0,505,0,822,0,0,226,904,0,348,2,0,1,18,0,0,9,0,0,0,0,1,4,0,0,3,0,1,1,4,0,12,3,249,1,0,0
289,381,996,4,1651,260,73,279,671,104,900,1245,1037,914,153,468,539,425,361,11,137,710,185,132,418,60,602,163,343,392,170,201,117,294,326,85,212,567,0,266,0,493,169,0,186,0,440,475,339,0,340,21,470,32,0,3,111,399,0,129,890,219,14,876,344,44,1,82,385,234,558,0,1039,71,100,110,0,78,1,0,626,0,114,89,181,0,636,571,665,840,894,646,321,1483,1020,16,0,802,1136,0,104,7,96,9,750,0,957,10,0,564,910,0,416,2,0,12,32,2,0,9,0,36,0,44,4,4,0,18,4,0,1,1,96,0,10,1,449,1,143,0
341,414,1124,25,1655,378,303,367,877,160,945,1257,1203,978,175,543,723,472,378,19,509,772,185,306,437,134,951,203,473,595,212,229,168,531,401,83,195,799,2,580,0,418,176,4,315,0,435,575,465,0,536,53,692,18,0,45,176,798,0,166,924,327,39,1062,427,59,114,279,819,362,678,0,1065,70,243,419,0,81,50,35,731,1,167,147,207,140,654,720,755,1091,1159,1283,390,1889,1711,4,0,945,1216,8,105,39,153,70,1093,0,1117,97,2,812,900,0,416,0,0,44,103,39,2,8,0,78,0,380,40,4,0,153,141,8,1,1,131,0,10,0,524,1,269,0
359,431,1179,67,1675,421,711,447,956,246,961,1251,1278,1010,194,621,871,533,401,53,729,821,190,603,555,176,1015,212,615,756,241,260,194,571,413,114,230,948,7,769,0,419,167,17,436,0,385,624,669,4,733,81,804,1,3,88,233,1138,11,230,938,522,129,1240,489,70,202,442,1265,411,848,34,1082,66,396,539,4,95,106,75,767,21,314,201,341,309,742,993,908,1319,1416,1678,443,2122,2068,5,0,1017,1264,56,144,140,157,48,1311,0,1324,171,70,889,933,0,454,22,0,351,200,125,6,8,0,119,0,519,186,4,0,277,267,14,1,4,160,4,16,0,421,1,365,3
381,444,1194,122,1759,449,812,450,999,268,1000,1255,1301,1012,221,648,1009,551,407,98,803,830,201,764,660,186,1189,207,621,837,276,282,234,577,435,134,241,1078,17,1058,0,398,161,24,515,0,343,616,762,67,837,95,890,1,6,125,330,1421,83,305,967,667,270,1391,577,75,442,618,1681,454,892,167,1127,30,511,629,18,278,221,127,803,30,545,300,552,506,878,1119,1146,1371,1457,1757,510,2237,2206,74,2,1113,1259,99,284,222,165,35,1382,44,1402,225,165,1271,1146,6,476,112,0,637,254,334,11,35,13,229,26,584,348,4,23,471,330,18,7,41,261,26,29,2,412,1,460,4
393,456,1227,175,1802,463,878,478,1085,270,1057,1253,1330,1010,267,669,1115,556,407,364,840,836,224,896,807,204,1220,208,624,999,333,352,350,596,454,170,249,1123,29,1215,0,460,158,26,552,0,287,628,938,105,905,93,967,10,33,213,361,1573,315,374,996,762,346,1527,700,88,716,823,1957,503,898,315,1149,11,641,679,90,464,438,135,835,46,793,362,594,682,1007,1214,1272,1450,1510,1835,594,2280,2378,196,43,1341,1257,135,383,266,148,30,1426,152,1458,324,223,1534,1290,60,531,127,0,792,369,462,15,75,76,406,79,613,446,31,222,678,434,42,8,141,398,59,30,51,487,1,476,32
412,469,1248,264,1817,487,943,513,1150,261,1101,1274,1336,1006,336,773,1313,605,440,506,936,864,272,982,882,208,1232,208,591,1047,448,443,445,601,460,184,314,1173,40,1318,0,654,281,27,578,0,269,616,1010,109,945,103,924,10,154,267,334,1749,432,404,1028,964,470,1615,763,99,943,938,2152,563,896,638,1165,8,746,695,186,524,484,142,853,86,936,446,634,786,1097,1509,1364,1538,1566,1905,774,2301,2483,290,117,1546,1252,133,468,301,148,45,1417,286,1556,379,285,1778,1341,65,557,128,0,919,588,603,19,120,102,506,169,673,496,88,501,1079,499,83,11,224,538,73,33,134,662,5,490,59
418,510,1279,350,1820,502,1048,526,1164,263,1143,1282,1340,1014,363,816,1396,682,433,582,1246,899,338,1051,880,214,1267,207,627,1151,530,530,561,653,476,214,398,1244,63,1366,6,706,319,38,616,1,255,599,1086,121,952,108,935,160,214,360,306,1670,537,440,1070,1138,506,1776,781,118,1072,1081,2385,611,896,910,1182,36,809,719,222,573,509,144,863,144,1054,488,695,812,1154,1626,1446,1607,1639,1979,796,2336,2555,395,228,1666,1300,127,664,333,185,60,1410,342,1628,430,297,1944,1359,65,592,120,0,1119,802,698,60,203,137,637,234,717,551,182,662,1349,608,215,12,297,585,89,31,203,745,51,505,85
459,537,1329,497,1830,517,1112,549,1174,309,1245,1297,1337,1058,513,835,1471,738,458,642,1510,938,395,1100,874,220,1281,207,678,1299,623,626,620,691,497,231,518,1281,110,1382,22,730,313,65,675,53,286,592,1151,128,956,123,944,293,283,394,295,1634,529,448,1146,1238,583,1817,828,157,1206,1246,2487,625,897,1020,1192,104,933,733,384,629,552,150,873,202,1104,509,877,855,1199,1746,1558,1672,1688,2042,1029,2402,2644,454,282,1710,1379,128,701,381,204,74,1422,361,1704,460,303,1986,1389,67,631,134,14,1224,989,737,112,332,173,808,301,803,611,276,731,1495,741,291,34,328,608,101,32,216,829,127,519,190
480,556,1363,601,1841,551,1136,570,1180,393,1329,1325,1330,1175,624,855,1528,803,456,730,1738,981,435,1141,867,233,1302,208,721,1505,693,683,640,750,515,281,564,1339,147,1385,35,744,363,100,732,107,349,604,1240,162,937,135,950,399,295,450,274,1565,528,453,1249,1238,623,1880,866,200,1347,1430,2564,642,898,1077,1205,94,1092,736,456,690,576,156,899,240,1238,517,900,893,1223,1825,1633,1742,1770,2070,1191,2554,2690,487,323,1714,1461,127,732,434,221,113,1431,407,1740,531,326,2030,1422,70,667,153,27,1264,1120,790,227,465,207,1057,352,869,657,364,760,1630,856,363,81,370,632,118,45,236,863,258,568,227
516,581,1471,642,1875,584,1186,594,1187,470,1411,1368,1333,1219,754,904,1549,853,465,797,1899,1022,459,1203,867,251,1312,215,779,1585,722,864,639,832,529,300,640,1381,199,1391,61,769,422,142,775,143,431,649,1275,192,926,142,956,459,332,498,252,1525,508,457,1294,1264,632,1953,878,225,1444,1626,2620,649,895,1116,1225,96,1149,747,520,759,597,161,935,267,1349,526,912,919,1244,1895,1643,1797,1820,2099,1325,2630,2703,556,358,1788,1579,125,806,470,278,142,1450,428,1760,600,376,2084,1445,73,767,246,38,1309,1229,852,300,651,261,1219,390,906,679,409,795,1786,898,419,115,405,659,138,76,256,889,414,610,231
581,611,1575,678,1894,610,1225,613,1189,520,1475,1394,1350,1260,779,939,1579,910,474,866,2026,1054,489,1246,878,273,1376,247,808,1635,780,1155,633,934,539,340,745,1442,225,1391,98,790,444,174,814,187,474,686,1300,229,919,153,961,511,353,513,241,1504,484,462,1341,1307,648,1962,901,241,1547,1756,2665,667,892,1150,1248,140,1229,755,570,790,660,164,968,291,1386,545,925,955,1263,1965,1659,1830,1860,2100,1465,2683,2705,639,419,1871,1673,136,862,512,298,210,1477,452,1774,662,388,2126,1480,91,886,358,41,1334,1266,987,326,766,325,1330,433,931,715,439,808,1897,957,503,125,438,688,155,113,298,915,457,657,236
710,622,1643,716,1908,630,1237,625,1192,624,1512,1421,1367,1299,872,1002,1644,964,495,973,2109,1081,514,1301,890,334,1395,294,850,1687,827,1257,637,1073,560,391,816,1507,251,1386,165,821,504,219,834,224,524,701,1303,276,918,165,976,551,369,512,211,1533,463,513,1380,1310,667,1979,907,280,1625,1900,2700,719,893,1178,1291,170,1318,768,631,864,709,171,998,320,1420,565,919,1009,1276,2018,1702,1903,1899,2126,1555,2705,2709,666,493,1920,1738,160,873,530,340,284,1505,459,1754,700,411,2160,1516,122,1037,425,70,1370,1328,1054,349,878,346,1349,480,956,758,472,767,1970,998,599,146,477,728,177,159,341,940,531,674,230
771,631,1667,755,1920,652,1255,642,1193,666,1538,1445,1385,1317,946,1050,1689,1063,489,1003,2173,1121,563,1344,881,378,1389,326,892,1730,869,1394,627,1252,568,434,919,1578,268,1397,251,841,562,256,851,264,570,703,1295,300,923,172,981,575,357,495,194,1552,435,590,1413,1348,685,2026,917,333,1657,2033,2722,786,897,1192,1340,199,1391,775,752,947,746,173,1021,342,1452,617,915,1065,1315,2071,1745,1930,1955,2153,1678,2727,2718,688,562,1954,1764,208,883,565,390,332,1548,483,1743,729,432,2177,1575,167,1149,487,67,1403,1391,1113,396,987,359,1370,534,974,808,522,748,2037,1036,681,165,490,757,213,225,373,975,618,691,213
816,637,1684,793,1937,694,1263,679,1195,703,1583,1483,1421,1358,1009,1232,1720,1155,499,1052,2225,1163,614,1368,870,453,1407,342,909,1759,889,1495,622,1319,595,453,1038,1633,259,1412,306,890,617,286,864,286,619,706,1299,303,935,182,996,591,373,532,184,1580,416,738,1453,1361,699,2062,939,383,1671,2411,2731,880,905,1226,1384,238,1488,783,898,969,774,179,1082,409,1495,646,951,1107,1340,2110,1840,1967,2000,2188,1704,2763,2732,691,608,1958,1808,293,919,597,422,349,1657,506,1755,795,453,2212,1657,185,1194,552,65,1427,1419,1186,437,1056,374,1391,655,981,833,548,761,2064,1070,783,194,507,782,229,248,403,1012,697,740,230
841,650,1690,835,1951,720,1278,724,1197,726,1617,1551,1445,1385,1033,1293,1742,1230,512,1093,2277,1209,656,1382,866,511,1419,357,933,1784,886,1545,623,1409,618,467,1137,1721,248,1429,336,956,692,328,871,304,647,711,1299,311,941,196,998,608,398,526,170,1608,405,894,1499,1375,720,2095,961,407,1709,2535,2751,997,916,1254,1396,280,1570,801,1014,979,814,184,1141,481,1541,668,969,1147,1354,2171,1895,2028,2136,2215,1752,2792,2749,710,695,1962,1821,347,997,630,460,354,1689,532,1751,837,479,2237,1688,203,1229,636,72,1454,1455,1251,463,1183,386,1399,709,978,849,566,756,2116,1085,929,213,513,791,241,291,452,1087,785,797,235
865,669,1693,862,1967,757,1290,758,1188,788,1634,1587,1456,1410,1054,1343,1762,1264,522,1131,2311,1253,679,1381,859,534,1422,396,954,1824,873,1554,616,1521,626,493,1272,1773,242,1446,368,996,749,350,885,318,685,741,1316,314,959,216,1000,627,480,527,163,1622,408,926,1546,1362,734,2130,985,411,1740,2593,2759,1148,940,1302,1429,321,1616,816,1092,1058,851,192,1195,523,1565,675,1008,1190,1373,2227,1948,2109,2165,2258,1808,2844,2790,741,755,1984,1851,385,1082,645,489,372,1724,571,1766,927,495,2256,1730,237,1256,742,78,1487,1491,1324,481,1320,386,1409,703,952,878,573,752,2140,1102,1021,303,533,795,253,327,470,1133,861,826,257
882,689,1696,874,1976,801,1305,801,1183,855,1649,1603,1496,1437,1090,1382,1775,1296,526,1167,2394,1267,721,1382,871,564,1435,433,963,1848,875,1565,604,1602,644,528,1329,1827,253,1462,410,1037,774,370,902,330,713,756,1322,330,968,251,1002,635,547,536,161,1641,405,953,1590,1364,757,2166,989,403,1770,2637,2790,1272,954,1321,1451,349,1715,832,1179,1137,903,199,1261,568,1586,686,1054,1211,1392,2260,1963,2177,2199,2279,1831,2941,2797,756,811,1993,1890,399,1126,659,509,383,1728,617,1773,1043,511,2288,1761,296,1287,849,96,1526,1517,1371,506,1447,397,1423,690,943,889,588,755,2211,1117,1097,294,548,797,256,353,480,1174,930,851,276
895,702,1704,886,1982,841,1330,834,1180,1012,1677,1611,1530,1470,1119,1394,1807,1322,523,1185,2429,1285,753,1383,875,623,1449,486,988,1885,877,1586,607,1651,665,541,1378,1860,308,1488,502,1058,811,385,918,357,776,761,1334,339,987,281,999,648,621,543,158,1658,424,985,1630,1382,784,2184,1006,400,1804,2700,2826,1401,970,1352,1446,373,1772,846,1276,1169,933,204,1283,609,1626,703,1059,1228,1403,2311,1985,2246,2231,2314,1902,2972,2803,773,882,2003,1909,401,1134,674,523,393,1736,678,1771,1128,528,2310,1814,329,1296,869,123,1561,1542,1444,508,1580,401,1447,684,950,901,617,771,2243,1129,1151,297,566,809,257,367,509,1209,937,904,283
906,713,1717,900,1992,859,1347,891,1165,1058,1709,1623,1552,1489,1141,1383,1829,1335,524,1220,2489,1316,793,1367,878,669,1468,504,1014,1905,881,1607,603,1724,677,545,1412,1882,419,1538,545,1071,843,399,929,374,814,785,1349,369,1007,299,1009,654,686,551,158,1692,439,991,1664,1420,803,2189,1022,393,1825,2759,2831,1433,994,1434,1405,395,1786,872,1327,1201,964,212,1310,631,1680,715,1074,1251,1422,2358,2014,2322,2301,2354,1960,2985,2818,784,925,2022,1937,405,1108,683,553,418,1765,718,1764,1260,536,2355,1849,384,1313,891,127,1589,1579,1508,530,1751,420,1450,681,929,930,656,783,2294,1131,1192,312,571,820,257,381,524,1251,914,936,319
912,713,1738,899,2000,873,1367,919,1164,1089,1739,1643,1584,1507,1166,1397,1845,1350,525,1252,2523,1336,860,1356,896,695,1495,513,1032,1927,891,1636,600,1809,687,551,1435,1939,509,1555,603,1098,866,412,937,384,833,793,1355,377,1012,315,1040,667,687,570,154,1718,457,993,1706,1431,827,2208,1036,388,1855,2805,2865,1483,1019,1459,1441,423,1812,887,1435,1212,1014,221,1351,664,1738,734,1100,1255,1432,2400,2013,2380,2337,2378,2011,2983,2817,795,999,2066,1962,410,1104,711,599,429,1795,735,1768,1329,536,2380,1884,429,1325,917,141,1622,1594,1571,550,1897,452,1456,678,935,989,697,802,2349,1122,1230,327,572,838,271,387,527,1299,888,961,373
925,714,1752,930,2014,874,1407,956,1165,1092,1764,1656,1603,1511,1200,1403,1855,1368,522,1295,2559,1363,895,1364,912,729,1534,531,1057,1947,907,1637,625,1845,703,582,1461,1952,619,1555,645,1115,887,434,945,389,858,811,1378,386,1026,328,1031,675,702,586,154,1743,521,992,1771,1452,884,2231,1042,403,1882,2829,2911,1503,1036,1488,1454,450,1858,905,1507,1233,1043,226,1384,708,1785,767,1130,1270,1458,2439,2014,2416,2353,2396,2090,2992,2815,807,1070,2115,2012,417,1112,740,612,449,1816,754,1794,1373,561,2400,1918,445,1325,931,171,1660,1621,1650,585,1978,492,1449,697,928,1024,736,816,2413,1127,1282,343,567,849,277,405,556,1375,889,974,425
932,727,1760,949,2030,895,1436,981,1162,1086,1780,1691,1617,1530,1268,1409,1870,1382,533,1318,2578,1380,906,1360,923,753,1569,553,1108,1963,915,1642,649,1884,721,606,1517,1967,749,1561,723,1119,935,488,947,402,883,836,1368,397,1032,356,1028,685,710,603,155,1772,561,1011,1803,1462,948,2254,1059,419,1914,2952,2938,1542,1057,1512,1468,465,1918,931,1601,1260,1074,242,1420,746,1807,780,1152,1280,1480,2459,2012,2454,2373,2414,2152,3002,2830,820,1125,2166,2041,422,1118,790,620,473,1854,772,1824,1417,614,2414,1949,454,1326,953,186,1713,1636,1730,602,2029,521,1443,729,922,1051,754,831,2482,1143,1324,350,544,843,286,407,577,1419,915,1001,467
930,767,1774,960,2041,930,1457,1015,1162,1080,1788,1699,1626,1544,1318,1419,1880,1408,536,1340,2598,1414,924,1357,942,777,1583,581,1162,1973,915,1646,658,1916,738,622,1582,1981,835,1638,769,1134,996,503,951,412,900,848,1357,406,1039,367,1033,693,717,618,155,1800,563,1039,1819,1465,964,2259,1083,428,1959,2971,2946,1575,1073,1532,1497,487,1959,944,1694,1286,1098,249,1483,809,1830,788,1155,1305,1514,2473,2005,2534,2407,2431,2218,3020,2852,859,1171,2205,2067,424,1136,814,634,510,1891,796,1848,1484,661,2419,1987,474,1327,968,203,1728,1647,1781,609,2094,548,1450,756,890,1069,762,825,2512,1138,1371,349,553,819,301,405,601,1471,937,1023,503
934,799,1776,978,2049,977,1477,1054,1166,1088,1797,1713,1643,1559,1375,1438,1892,1428,542,1374,2617,1444,937,1361,962,800,1601,626,1209,1997,922,1652,743,1929,767,636,1640,1975,886,1724,799,1131,1046,518,955,422,922,888,1363,422,1044,377,1038,713,727,634,155,1842,583,1045,1841,1478,976,2257,1110,438,1995,2987,2968,1581,1085,1584,1520,529,1996,960,1768,1313,1115,271,1531,843,1856,799,1142,1333,1528,2483,2009,2603,2454,2442,2265,3016,2854,891,1221,2241,2124,429,1161,854,651,536,1930,812,1884,1512,683,2426,2000,493,1339,980,213,1737,1657,1848,616,2135,565,1464,784,873,1081,772,840,2519,1120,1413,351,556,827,314,410,616,1531,962,1050,516
923,828,1783,995,2065,1018,1481,1076,1168,1100,1805,1742,1635,1574,1415,1451,1900,1448,547,1412,2641,1475,951,1346,969,829,1603,685,1258,2012,929,1675,751,1926,784,661,1714,1959,914,1804,830,1094,1105,536,963,430,948,908,1372,434,1064,394,1048,719,732,650,152,1903,604,1046,1857,1489,983,2263,1146,439,2030,3002,2985,1529,1097,1604,1521,566,2021,981,1864,1321,1133,290,1566,866,1866,813,1142,1368,1552,2496,2017,2649,2490,2448,2305,3021,2868,906,1296,2271,2141,431,1160,883,657,552,1998,819,1894,1544,689,2428,2030,517,1353,992,254,1747,1666,1875,610,2186,577,1491,799,871,1109,793,859,2527,1119,1460,351,561,835,350,417,622,1573,970,1077,521
