0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9874.0,9902.0,9794.2,9819.2,9901.2,9835.8,9813.4,9840.8,9849.2,9884.8,9843.8,9799.8,9825.8,9792.2,9984.4,9914.6,9913.0,9995.8,9996.2,9945.2,9985.6,9922.2,9997.4,9983.4,9951.2,9995.4,9994.6,9984.2
8853.4,8940.6,8725.4,8652.0,8811.4,8775.4,8780.0,8823.4,8893.0,8847.4,8876.6,8749.2,8790.2,9022.8,9145.2,9169.0,8991.8,9147.0,9228.4,8917.0,9187.4,8816.4,9162.2,9044.8,8854.4,9181.6,9043.0,9012.2
8146.6,8503.0,8386.2,7917.8,8252.8,8243.0,8318.8,8195.8,8261.2,7885.6,8274.0,8333.6,8065.4,8398.4,8906.2,8908.8,8769.2,8969.0,8976.6,8771.6,8976.8,8676.0,8963.4,8809.6,8547.4,8949.6,8898.6,8829.8
7822.8,7914.8,8136.0,7541.6,7929.8,7962.6,7953.2,7987.6,7851.8,7496.4,8149.0,8171.8,8011.4,8162.2,8748.6,8759.8,8720.0,8814.0,8746.8,8685.2,8804.6,8776.4,8812.4,8732.0,8367.8,8784.4,8632.0,8623.0
7504.8,7816.2,7692.0,7446.4,7431.4,7588.0,7270.6,7874.4,7629.0,7222.6,7797.4,7992.8,7839.4,7873.2,8671.2,8666.8,8441.4,8701.4,8464.2,8666.4,8708.4,8742.4,8676.0,8619.2,8365.4,8714.0,8336.2,8471.2
7105.0,7780.0,7215.6,7254.0,7145.0,7246.6,6880.6,7710.4,7366.6,7023.8,7458.2,7895.8,7624.0,7619.6,8460.0,8482.6,8051.4,8568.2,8292.2,8514.6,8546.2,8617.0,8573.0,8544.2,8428.4,8616.8,8291.2,8301.6
6801.8,7549.4,6858.8,7133.8,6970.2,6986.8,6425.2,7293.4,7264.8,6865.6,7245.4,7697.8,7398.4,7305.2,7667.0,8389.8,8104.8,8366.6,8176.6,8437.0,8454.4,8569.8,8465.8,8318.6,8373.4,8459.6,8175.4,8214.4
6577.6,7241.6,6562.6,6904.6,6788.0,6774.6,6166.0,7000.2,6985.4,6590.0,7005.4,7428.6,7198.2,7021.4,6906.0,8315.2,8162.2,8289.4,8064.6,8375.6,8380.0,8489.8,8259.2,8097.6,8361.6,8455.0,8055.8,8054.8
6431.6,7072.8,6378.0,6651.6,6687.2,6651.6,5930.6,6760.8,6654.2,6363.6,6803.2,7203.2,7081.6,6811.6,6757.6,8257.8,7970.0,8175.0,7996.4,8322.8,8310.8,8364.6,8177.8,7893.4,8328.2,8392.2,7836.0,7941.2
6226.6,6906.4,6219.4,6550.0,6571.2,6385.8,5849.4,6528.2,6434.4,6166.6,6664.0,6978.8,6974.8,6632.0,6678.6,8209.0,7868.2,8161.2,7797.2,8210.2,8006.8,8277.4,8167.4,7691.0,8299.8,8332.4,7766.4,7735.6
6040.8,6785.8,5992.4,6417.0,6434.8,6205.0,5781.6,6342.6,6311.2,6037.0,6542.4,6740.6,6812.2,6524.0,6615.0,8134.0,7798.2,8136.2,7893.2,8107.0,8018.8,8232.6,8161.8,7656.2,8215.0,8317.4,7663.2,7617.6
5842.6,6695.0,5809.4,6294.6,6299.2,6101.2,5726.4,6107.6,6226.8,5926.2,6378.6,6584.8,6698.8,6404.8,6529.0,8065.8,7768.0,8065.6,7846.2,7782.0,8148.8,8187.2,8063.2,7509.4,7904.8,8356.8,7509.6,7466.2
5636.4,6617.0,5697.0,6141.8,6201.6,6071.0,5669.2,6007.4,6180.6,5838.0,6270.2,6478.8,6607.0,6335.0,6443.0,8056.4,7734.6,8040.4,7740.6,7653.8,7924.2,8130.8,7967.2,7405.2,7721.0,8314.0,7224.6,7350.4
5518.0,6559.0,5589.2,6020.2,6049.0,6024.6,5586.8,5888.2,6118.6,5756.2,6195.8,6384.2,6540.8,6276.8,6418.2,8005.8,7698.4,8000.6,7659.0,7596.8,7841.6,8058.4,7873.8,7341.8,7650.8,8193.8,7106.8,7317.6
5407.4,6498.4,5500.0,5876.0,5988.2,5972.8,5564.8,5780.2,6095.6,5678.8,6123.8,6297.8,6512.2,6195.4,6387.4,7978.8,7679.4,7946.4,7575.2,7439.6,7761.8,7857.8,7853.4,7284.8,7656.6,8121.6,7051.8,7274.0
5287.0,6447.4,5381.4,5780.0,5903.8,5930.8,5558.6,5656.2,6053.2,5638.0,6062.0,6207.2,6504.6,6113.0,6343.2,7913.8,7678.8,7892.2,7523.2,7379.6,7715.4,7668.8,7818.0,7217.6,7614.6,8092.6,7051.6,7273.6
5172.8,6422.0,5244.8,5706.0,5771.0,5879.2,5495.2,5551.0,6000.2,5626.2,5998.2,6159.0,6494.8,6053.2,6287.8,7871.6,7652.6,7766.6,7495.6,7299.6,7686.2,7653.4,7767.4,7142.2,7561.6,8015.8,7059.2,7265.0
5091.4,6384.4,5137.4,5647.2,5669.6,5824.0,5443.6,5456.8,5958.0,5597.4,5937.8,6097.8,6489.8,5978.4,6283.6,7838.4,7521.2,7733.2,7495.6,7151.4,7614.4,7621.6,7744.4,6937.0,7471.8,7959.6,7051.6,7202.2
5028.8,6356.0,5059.4,5580.0,5533.2,5763.4,5391.4,5387.0,5928.2,5568.8,5872.0,6056.8,6459.6,5906.0,6242.4,7767.2,7382.6,7708.8,7476.0,7131.2,7553.2,7585.2,7679.4,6859.0,7403.4,7905.8,7043.0,7153.2
4938.0,6342.6,4981.4,5561.6,5397.6,5725.2,5305.6,5320.0,5876.4,5533.4,5796.8,5993.4,6400.0,5864.4,6233.8,7733.2,7225.6,7677.0,7438.4,7046.2,7507.6,7553.8,7539.2,6864.8,7382.0,7861.2,7024.6,7120.2
4822.8,6342.6,4933.0,5499.6,5278.4,5674.8,5227.2,5289.0,5801.0,5516.8,5745.8,5902.0,6348.2,5826.4,6210.4,7726.2,7150.4,7658.8,7414.6,6890.6,7424.8,7489.2,7474.2,6831.2,7350.6,7849.2,7004.6,7093.0
4760.4,6339.4,4885.6,5461.0,5127.2,5602.6,5135.6,5267.4,5740.0,5502.4,5690.0,5836.4,6285.2,5787.8,6215.0,7699.8,7055.4,7639.2,7408.0,6817.2,7386.6,7474.6,7462.4,6801.4,7115.0,7825.0,6997.6,7047.6
4727.6,6322.4,4846.0,5406.0,5019.4,5543.0,5028.6,5257.4,5693.0,5459.8,5636.2,5806.4,6216.0,5758.4,6220.4,7641.0,6992.0,7630.8,7399.8,6774.0,7340.6,7452.6,7485.0,6802.2,7065.0,7803.4,7005.4,6988.4
4687.6,6297.4,4806.4,5366.4,4926.8,5493.0,4965.2,5259.0,5638.2,5411.4,5575.6,5776.0,6169.4,5728.2,6223.2,7614.8,6942.4,7625.8,7384.0,6771.8,7327.2,7410.4,7504.2,6684.0,7028.2,7734.8,7005.8,6961.0
4634.6,6269.2,4765.2,5300.2,4838.6,5452.6,4885.0,5246.2,5592.6,5385.6,5472.0,5739.6,6120.0,5686.2,6226.0,7543.2,6649.6,7626.2,7327.4,6763.8,7273.0,7344.2,7494.2,6511.8,7012.0,7703.4,6987.4,6843.4
4604.2,6210.4,4732.8,5227.0,4747.4,5407.8,4815.8,5253.0,5477.2,5374.2,5393.2,5679.8,6042.8,5638.6,6262.4,7498.4,6532.2,7620.8,7225.4,6768.6,7239.0,7036.0,7516.2,6357.2,7001.8,7699.4,6975.8,6799.4
4551.4,6138.8,4699.4,5147.8,4653.4,5367.4,4752.0,5258.8,5407.2,5342.4,5330.0,5614.2,5980.0,5601.4,6319.0,7478.2,6433.0,7612.4,7201.0,6771.2,7191.8,6978.6,7522.6,6307.6,6998.0,7694.8,6936.2,6763.4
4477.2,6086.0,4679.0,5083.0,4565.4,5297.8,4695.8,5262.8,5333.0,5319.0,5287.2,5552.8,5922.0,5572.0,6332.2,7456.4,6381.8,7612.2,7188.0,6775.4,7170.6,6967.6,7525.6,6268.2,6997.4,7689.4,6891.4,6738.2
4384.6,6007.0,4632.2,5044.2,4495.2,5231.2,4639.0,5255.4,5256.4,5293.0,5234.8,5510.8,5864.0,5522.4,6339.6,7416.6,6334.4,7608.8,7185.0,6757.4,7022.4,6898.2,7521.2,6197.2,6983.6,7680.0,6842.6,6738.4
4315.0,5917.8,4607.6,5002.6,4395.6,5144.4,4585.6,5240.6,5189.4,5242.0,5176.8,5475.4,5819.2,5490.6,6339.4,7386.4,6282.0,7604.4,7174.6,6747.2,6893.6,6645.2,7515.4,6105.8,6893.2,7678.2,6796.6,6743.8
4259.8,5857.0,4581.6,4958.0,4298.0,5063.8,4529.0,5201.8,5122.4,5200.6,5111.0,5436.2,5766.6,5452.8,6333.6,7364.8,6244.8,7602.2,7163.0,6749.4,6773.4,6626.0,7503.6,6058.4,6883.0,7673.0,6747.4,6746.6
4198.2,5794.8,4560.4,4922.8,4212.2,5002.6,4464.2,5167.4,5066.6,5165.8,5059.0,5390.8,5721.8,5428.6,6333.0,7357.2,6227.2,7599.4,7156.0,6731.8,6738.6,6610.8,7482.2,6039.4,6876.0,7662.2,6729.0,6737.0
4109.8,5729.8,4535.8,4883.6,4140.2,4953.6,4394.8,5140.8,5010.0,5127.0,5008.4,5354.2,5674.8,5393.0,6334.8,7340.4,6199.4,7600.6,7153.4,6736.6,6709.8,6600.6,7450.4,6035.0,6867.2,7631.2,6728.2,6731.8
4028.2,5664.4,4502.6,4846.6,4078.8,4910.8,4321.8,5127.4,4968.0,5096.0,4969.0,5326.4,5620.0,5343.2,6353.6,7312.6,6180.0,7594.4,7142.8,6735.0,6683.0,6569.2,7417.0,6059.8,6859.8,7612.4,6731.6,6726.4
3978.2,5571.6,4476.2,4831.8,4019.4,4872.2,4271.6,5118.8,4921.2,5050.4,4927.2,5301.0,5562.0,5301.8,6339.4,7311.0,6115.4,7596.8,7128.6,6745.0,6678.2,6543.4,7397.8,6107.8,6848.2,7554.4,6716.4,6733.6
3926.4,5483.6,4444.0,4818.8,3949.6,4831.2,4217.2,5102.4,4888.2,4993.2,4872.8,5274.2,5498.0,5250.4,6333.8,7307.6,5780.4,7600.6,7121.4,6757.0,6657.0,6525.4,7358.6,6092.2,6840.4,7526.2,6704.4,6717.0
3881.6,5400.6,4424.2,4804.8,3882.8,4800.8,4159.2,5086.0,4842.4,4945.2,4827.0,5224.0,5443.6,5214.2,6327.4,7305.0,5675.2,7601.4,7115.4,6757.2,6610.8,6480.2,7306.4,6069.4,6837.2,7509.8,6690.6,6706.8
3852.0,5334.4,4414.2,4773.8,3830.0,4767.4,4103.2,5065.6,4789.0,4882.8,4791.4,5171.4,5395.2,5174.2,6339.6,7284.6,5622.0,7601.6,7113.4,6749.2,6562.2,6395.2,7262.2,6055.4,6832.4,7497.4,6668.6,6685.0
3818.2,5271.6,4399.6,4742.6,3767.8,4745.0,4047.6,5037.8,4743.0,4827.4,4764.4,5131.0,5326.6,5132.4,6343.2,7274.6,5581.2,7606.0,7104.2,6740.4,6540.2,6383.2,7219.4,6023.2,6832.2,7487.6,6658.6,6678.8
3791.4,5205.2,4380.0,4705.8,3711.2,4723.2,4016.2,4996.0,4698.4,4776.4,4739.2,5088.8,5268.0,5079.8,6331.2,7263.2,5563.6,7612.8,7004.0,6727.4,6493.0,6351.0,7184.0,5990.2,6831.6,7495.4,6648.6,6669.4
3766.2,5137.6,4356.8,4670.0,3657.2,4698.8,3979.8,4959.2,4652.6,4731.4,4712.8,5048.8,5222.4,5040.6,6322.8,7245.4,5497.4,7622.4,6967.8,6716.4,6475.6,6350.2,7162.6,5960.8,6833.6,7482.8,6642.6,6652.8
3734.2,5056.8,4340.4,4620.6,3611.4,4673.0,3930.6,4938.8,4617.6,4699.4,4680.0,5008.8,5174.8,5008.6,6310.0,7229.4,5444.6,7609.2,6874.2,6719.6,6455.6,6341.0,7149.0,5892.2,6833.2,7472.4,6637.6,6616.6
3704.8,4996.4,4325.8,4577.2,3568.6,4644.0,3893.4,4909.6,4586.4,4673.0,4646.2,4974.8,5124.6,4975.8,6299.6,7185.6,5412.0,7597.2,6821.4,6718.6,6443.0,6331.0,7137.4,5804.6,6832.2,7463.4,6634.4,6569.0
3678.2,4920.8,4309.2,4532.2,3537.6,4610.6,3856.2,4889.0,4549.0,4638.6,4608.0,4956.6,5081.2,4950.6,6293.2,7170.8,5373.6,7588.4,6813.8,6722.0,6428.4,6329.6,7120.8,5747.8,6832.4,7456.8,6631.8,6536.2
3657.6,4836.0,4298.0,4496.6,3491.4,4573.2,3820.8,4878.0,4524.4,4611.2,4568.2,4931.4,4998.8,4923.4,6286.6,7160.4,5347.6,7579.4,6829.8,6724.8,6416.0,6314.6,7101.4,5492.4,6825.4,7455.8,6626.0,6515.4
3631.8,4752.4,4279.8,4455.0,3445.6,4538.6,3799.2,4857.6,4496.4,4587.8,4523.8,4905.4,4946.0,4900.2,6258.8,7134.0,5339.8,7544.2,6738.0,6726.2,6393.6,6305.8,7066.6,5294.2,6814.0,7456.2,6618.0,6504.0
3614.6,4682.6,4264.0,4423.0,3408.0,4503.0,3770.6,4840.2,4454.8,4561.4,4488.6,4885.4,4906.4,4877.0,6257.0,7113.4,5331.8,7505.6,6698.0,6739.0,6361.0,6241.6,7045.4,5251.8,6796.8,7456.8,6609.8,6490.2
3595.0,4606.4,4255.4,4388.6,3361.8,4470.2,3750.6,4820.2,4422.0,4526.6,4459.4,4857.2,4866.6,4852.2,6244.8,7070.8,5313.4,7482.2,6694.8,6749.4,6334.2,6238.6,7035.0,5233.0,6789.0,7455.6,6607.4,6478.8
3569.8,4524.0,4238.6,4349.6,3302.2,4442.0,3716.2,4791.8,4389.4,4503.2,4426.2,4837.4,4831.4,4824.8,6239.0,7064.4,5295.4,7455.6,6688.6,6769.8,6315.0,6226.6,7068.4,5224.2,6782.6,7452.0,6568.6,6485.0
3554.2,4447.2,4223.4,4311.0,3264.0,4416.6,3686.4,4772.0,4361.8,4473.2,4390.4,4815.4,4802.8,4802.6,6235.0,7022.4,5286.4,7446.6,6687.2,6793.2,6276.4,6217.8,7088.4,5190.6,6774.2,7440.0,6546.2,6493.2
3542.6,4376.4,4220.6,4276.0,3228.0,4397.8,3663.4,4749.8,4318.2,4443.4,4356.6,4802.6,4768.4,4765.2,6241.4,6959.6,5293.8,7433.2,6685.0,6806.4,6245.8,6207.6,7104.0,5178.2,6754.0,7408.2,6530.0,6489.2
3532.6,4316.4,4217.4,4229.6,3194.2,4375.0,3640.8,4724.8,4285.2,4404.0,4327.8,4785.2,4746.8,4723.6,6243.8,6950.0,5294.8,7425.6,6681.6,6805.4,6227.4,6195.2,7097.6,5153.6,6746.2,7401.6,6522.6,6483.6
3518.6,4251.2,4213.4,4196.8,3168.6,4351.0,3624.0,4693.4,4250.4,4365.0,4301.0,4770.2,4728.0,4687.2,6236.0,6946.4,5291.4,7423.0,6667.8,6808.4,6209.4,6185.2,7078.4,5140.2,6729.2,7384.4,6440.0,6472.8
3509.2,4193.0,4207.8,4171.6,3153.6,4332.8,3612.8,4664.4,4204.0,4327.8,4273.4,4753.8,4714.0,4655.0,6171.0,6942.4,5286.6,7438.6,6625.0,6817.0,6171.2,6173.6,7070.6,5129.0,6709.8,7367.6,6409.4,6477.8
3500.8,4139.2,4207.2,4143.2,3136.0,4310.8,3597.0,4642.6,4169.8,4293.2,4245.6,4740.0,4687.2,4621.0,6151.6,6938.0,5277.6,7441.8,6538.6,6848.0,6087.2,6160.0,7073.8,5114.6,6683.8,7360.2,6377.0,6561.8
3493.2,4087.6,4208.0,4127.8,3113.6,4286.0,3580.4,4631.6,4141.8,4262.0,4218.4,4728.0,4671.6,4584.0,6147.0,6928.0,5272.4,7437.8,6488.0,6878.6,6026.8,6148.2,7054.6,5104.8,6644.8,7364.4,6350.8,6557.4
3492.6,4045.2,4202.8,4106.6,3090.2,4263.8,3556.2,4611.0,4109.4,4227.2,4194.6,4716.8,4655.0,4564.2,6157.4,6915.2,5268.6,7409.6,6469.0,6895.2,5979.6,6143.4,7040.2,5095.0,6637.0,7363.0,6344.6,6582.4
3487.0,3993.4,4197.8,4076.4,3068.8,4243.6,3540.6,4590.6,4077.4,4190.8,4161.0,4697.8,4633.2,4544.2,6155.4,6904.2,5271.4,7409.8,6449.0,6910.6,5887.6,6133.8,7039.6,5089.4,6630.4,7346.6,6322.6,6596.0
3480.2,3939.4,4193.2,4045.4,3049.6,4217.0,3523.8,4565.0,4047.4,4156.6,4124.0,4689.6,4610.8,4529.4,6140.6,6899.0,5265.4,7404.0,6371.8,6919.6,5859.0,6122.2,7044.0,5097.0,6620.2,7341.2,6308.0,6600.6
3473.2,3890.2,4189.6,4025.0,3042.6,4191.8,3503.4,4540.0,4018.8,4118.6,4086.6,4680.8,4594.2,4508.0,6132.4,6892.4,5259.2,7397.8,6280.0,6929.0,5834.8,6109.4,7023.2,5090.8,6615.4,7329.4,6284.0,6603.4
3471.4,3834.2,4186.0,4005.4,3030.6,4169.2,3484.4,4506.4,3990.4,4078.4,4055.8,4674.6,4574.4,4480.0,6127.8,6895.2,5259.2,7388.6,6245.2,6933.8,5815.8,6102.6,7016.0,5095.6,6611.2,7312.0,6260.8,6602.6
3463.4,3774.6,4172.6,3985.2,3032.0,4144.2,3465.8,4478.6,3961.6,4048.6,4021.4,4668.8,4555.0,4454.4,6110.2,6894.2,5257.0,7375.2,6169.6,6937.2,5776.2,6095.4,7018.0,5102.6,6599.0,7299.2,6247.4,6597.8
3457.2,3718.4,4159.4,3973.6,3019.2,4120.2,3453.8,4452.0,3931.2,4019.8,3999.4,4648.0,4536.4,4436.6,6105.8,6884.8,5248.2,7354.6,6133.6,6939.6,5735.0,6091.6,7009.4,5066.6,6588.4,7281.6,6238.8,6599.6
3445.6,3672.8,4160.4,3958.4,3010.0,4114.0,3441.4,4426.8,3909.6,3997.6,3971.4,4642.2,4514.0,4426.8,6080.4,6877.2,5245.2,7342.0,6105.8,6938.2,5697.4,6086.8,7007.4,4987.8,6576.2,7251.6,6235.8,6600.2
3433.0,3629.2,4154.0,3935.4,2991.0,4093.8,3432.0,4413.4,3879.0,3969.4,3940.6,4629.2,4495.6,4405.8,6071.6,6851.6,5251.6,7337.2,6096.4,6945.2,5669.2,6075.2,6992.6,4941.4,6572.4,7238.8,6222.2,6612.6
3420.0,3591.4,4159.0,3920.2,2968.0,4073.0,3415.0,4382.8,3840.4,3941.6,3907.2,4624.0,4479.6,4386.4,6064.8,6815.2,5231.2,7309.8,6119.6,6949.6,5630.8,6068.6,6991.4,4869.8,6567.6,7221.2,6206.2,6626.0
3404.8,3556.2,4152.8,3906.4,2949.0,4049.4,3403.4,4348.8,3801.0,3907.4,3870.6,4616.8,4466.2,4369.8,6061.0,6788.4,5234.4,7300.2,6138.2,6958.2,5584.2,6059.4,6990.8,4809.4,6561.6,7206.4,6195.4,6630.8
3399.8,3526.8,4149.2,3888.0,2927.4,4025.8,3387.8,4324.2,3759.0,3872.0,3841.8,4608.4,4447.6,4352.4,6052.2,6762.6,5239.4,7291.6,6147.2,6964.2,5552.2,6043.8,6988.8,4772.8,6553.4,7190.4,6173.4,6636.0
3392.0,3496.6,4146.8,3870.4,2915.8,3995.0,3368.8,4300.2,3731.8,3838.0,3811.0,4596.2,4429.4,4334.6,6036.8,6739.6,5247.8,7286.6,6154.2,6971.0,5504.8,6031.0,6981.2,4733.2,6544.6,7173.4,6169.4,6645.0
3375.4,3470.2,4152.4,3856.0,2905.0,3975.2,3353.4,4271.0,3702.0,3812.2,3786.8,4584.4,4420.2,4317.0,6027.8,6701.6,5256.4,7282.4,6182.2,6978.8,5484.4,6020.6,6955.4,4698.4,6536.0,7164.4,6165.4,6654.8
3365.8,3436.2,4151.6,3837.2,2887.2,3955.2,3343.6,4249.8,3689.6,3782.2,3767.4,4566.6,4407.2,4305.0,6013.2,6666.6,5280.2,7276.0,6217.0,6983.2,5458.8,6003.0,6940.6,4663.6,6527.2,7163.6,6158.0,6666.0
3354.0,3414.6,4144.4,3820.0,2874.2,3937.0,3321.2,4233.2,3668.0,3753.4,3740.0,4557.2,4403.6,4297.0,6001.8,6642.0,5298.2,7268.4,6251.8,6986.6,5438.4,5971.0,6939.6,4643.6,6523.2,7155.6,6152.2,6677.6
3349.4,3391.6,4141.0,3805.6,2867.4,3919.2,3312.8,4217.4,3649.4,3735.6,3707.6,4541.4,4397.8,4288.8,5983.0,6598.6,5301.8,7265.2,6270.0,6995.0,5415.4,5950.0,6961.8,4628.8,6515.4,7140.4,6144.6,6688.8
3340.6,3374.2,4132.6,3783.6,2854.6,3894.8,3303.8,4191.2,3633.0,3723.8,3688.6,4528.2,4396.4,4281.2,5980.2,6580.8,5301.4,7254.6,6278.6,7012.4,5397.2,5942.6,6953.6,4581.2,6513.0,7111.0,6145.2,6698.4
3332.4,3345.2,4122.2,3765.6,2850.6,3878.4,3287.4,4167.4,3618.4,3695.4,3660.0,4497.2,4388.0,4278.8,5973.0,6566.2,5299.2,7239.8,6300.8,7029.4,5372.8,5935.6,6940.6,4557.0,6506.0,7086.4,6157.0,6702.0
3327.2,3323.8,4115.2,3749.0,2845.6,3861.8,3274.0,4155.2,3610.8,3675.2,3641.6,4482.0,4384.8,4271.2,5957.2,6553.6,5300.2,7225.0,6287.0,7042.4,5346.6,5929.6,6917.8,4533.8,6501.4,7061.2,6161.2,6708.6
3319.8,3301.6,4111.2,3744.2,2837.2,3843.2,3266.0,4148.4,3599.2,3655.4,3624.0,4462.8,4381.8,4267.0,5943.0,6535.2,5289.0,7208.2,6280.8,7060.6,5334.4,5924.4,6873.6,4506.6,6499.4,7038.4,6163.8,6715.0
3319.0,3276.4,4108.4,3738.2,2825.6,3831.6,3259.4,4140.6,3590.8,3635.6,3597.4,4459.4,4383.4,4257.2,5938.8,6514.4,5291.4,7193.6,6280.6,7071.2,5292.6,5917.2,6856.8,4485.0,6487.4,7029.8,6170.2,6715.8
3317.6,3258.6,4106.0,3734.8,2808.6,3815.8,3252.2,4129.2,3582.4,3613.0,3577.4,4439.6,4382.4,4249.8,5911.0,6493.8,5292.0,7184.6,6281.8,7067.8,5274.0,5908.2,6838.2,4473.6,6475.6,7017.6,6167.8,6713.2
3316.6,3233.6,4109.2,3714.2,2795.2,3795.8,3244.4,4116.4,3572.8,3584.0,3563.8,4423.6,4384.2,4235.6,5861.8,6464.4,5276.8,7178.4,6283.4,7058.4,5239.8,5895.2,6827.0,4474.2,6460.0,7006.2,6168.4,6721.8
3317.0,3217.4,4106.6,3707.0,2782.4,3782.8,3238.0,4107.4,3561.6,3565.4,3549.8,4410.0,4390.2,4225.8,5841.0,6435.8,5259.6,7164.8,6282.0,7054.6,5223.6,5885.6,6785.8,4465.0,6451.2,6988.8,6171.4,6728.0
3318.8,3192.8,4105.0,3701.2,2764.4,3771.0,3235.6,4105.4,3549.4,3549.6,3534.2,4400.8,4394.4,4208.2,5878.4,6385.4,5215.6,7150.6,6281.0,7058.0,5198.6,5872.6,6754.0,4445.8,6421.6,6974.8,6176.8,6739.2
3325.0,3172.6,4097.4,3698.0,2753.2,3756.6,3230.2,4108.8,3537.6,3537.6,3520.2,4393.8,4391.6,4191.4,5915.0,6340.2,5158.2,7133.6,6286.4,7052.6,5170.0,5866.2,6727.0,4438.4,6407.4,6967.8,6205.4,6743.4
3323.2,3155.6,4092.0,3687.4,2742.0,3745.8,3224.4,4115.8,3528.4,3522.2,3500.2,4381.0,4397.8,4172.4,5891.6,6309.0,5143.0,7106.6,6282.0,7041.8,5154.6,5847.0,6705.8,4438.8,6377.2,6963.4,6211.0,6756.2
3317.4,3134.4,4074.4,3655.4,2728.0,3725.8,3209.0,4083.4,3511.0,3512.4,3477.6,4353.6,4390.8,4147.8,5821.8,6290.8,5128.8,7086.0,6273.4,7032.4,5142.8,5816.4,6635.8,4434.4,6340.6,6955.0,6206.4,6760.0
