0_0_A,0_82_aout_A,0_82_bout_A,0_164_aout_A,0_164_bout_A,0_246_aout_A,0_246_bout_A,360_0_A,360_82_aout_A,360_82_bout_A,360_164_aout_A,360_164_bout_A,360_246_aout_A,360_246_bout_A,660_0_A,660_82_aout_A,660_82_bout_A,660_164_aout_A,660_164_bout_A,660_246_aout_A,660_246_bout_A,960_0_A,960_82_aout_A,960_82_bout_A,960_164_aout_A,960_164_bout_A,960_246_aout_A,960_246_bout_A,0_0_B,0_82_aout_B,0_82_bout_B,0_164_aout_B,0_164_bout_B,0_246_aout_B,0_246_bout_B,360_0_B,360_82_aout_B,360_82_bout_B,360_164_aout_B,360_164_bout_B,360_246_aout_B,360_246_bout_B,660_0_B,660_82_aout_B,660_82_bout_B,660_164_aout_B,660_164_bout_B,660_246_aout_B,660_246_bout_B,960_0_B,960_82_aout_B,960_82_bout_B,960_164_aout_B,960_164_bout_B,960_246_aout_B,960_246_bout_B,0_0_C,0_82_aout_C,0_82_bout_C,0_164_aout_C,0_164_bout_C,0_246_aout_C,0_246_bout_C,360_0_C,360_82_aout_C,360_82_bout_C,360_164_aout_C,360_164_bout_C,360_246_aout_C,360_246_bout_C,660_0_C,660_82_aout_C,660_82_bout_C,660_164_aout_C,660_164_bout_C,660_246_aout_C,660_246_bout_C,960_0_C,960_82_aout_C,960_82_bout_C,960_164_aout_C,960_164_bout_C,960_246_aout_C,960_246_bout_C,0_0_D,0_82_aout_D,0_82_bout_D,0_164_aout_D,0_164_bout_D,0_246_aout_D,0_246_bout_D,360_0_D,360_82_aout_D,360_82_bout_D,360_164_aout_D,360_164_bout_D,360_246_aout_D,360_246_bout_D,660_0_D,660_82_aout_D,660_82_bout_D,660_164_aout_D,660_164_bout_D,660_246_aout_D,660_246_bout_D,960_0_D,960_82_aout_D,960_82_bout_D,960_164_aout_D,960_164_bout_D,960_246_aout_D,960_246_bout_D,0_0_E,0_82_aout_E,0_82_bout_E,0_164_aout_E,0_164_bout_E,0_246_aout_E,0_246_bout_E,360_0_E,360_82_aout_E,360_82_bout_E,360_164_aout_E,360_164_bout_E,360_246_aout_E,360_246_bout_E,660_0_E,660_82_aout_E,660_82_bout_E,660_164_aout_E,660_164_bout_E,660_246_aout_E,660_246_bout_E,960_0_E,960_82_aout_E,960_82_bout_E,960_164_aout_E,960_164_bout_E,960_246_aout_E,960_246_bout_E
10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
8896,9045,9865,9255,9829,9909,8939,7603,7783,7767,7918,7865,8315,8502,7687,7679,8419,8708,8438,8304,8305,8944,8458,8269,8656,8608,8527,8687,9915,9418,9931,9526,9915,9409,9357,6103,7233,8344,5959,6646,6044,6953,9371,9370,9510,8749,9481,9015,9333,9833,9956,9934,9959,9445,9804,9860,9932,9801,9784,9904,9905,9890,9921,9788,9895,9632,9959,9763,9696,9856,9677,9578,9385,8686,8809,9470,8934,5737,6470,1542,5607,4357,4779,8989,9389,9391,9566,9222,9722,9299,9384,9523,9429,9537,9541,9666,9315,9249,9237,9865,9221,9672,9321,8987,9813,9323,9263,8979,8142,8917,8951,8991,9708,9588,9133,9692,7443,9543,8527,9467,9537,9383,9415,6885,9649,2364,9619,9636,9276,9529,9448,9481,6794,9258,8798,9580,9475,9008,9224,8192
8074,8404,8909,8552,9035,9219,7916,5952,7371,5949,6510,6891,7550,7242,6210,5457,7118,7436,6800,7134,6398,7707,7584,7113,7683,6777,7890,7133,7726,7185,8693,6185,7460,6272,6742,587,1791,2940,1570,2125,2565,3065,5577,7273,5636,5714,7556,4717,7688,8665,8863,8457,9137,7966,8749,6932,8857,8268,8406,9156,8464,7985,8427,7875,9061,8543,9147,5256,8708,8903,7372,7509,5836,4742,5839,6522,7002,1747,1629,36,2358,1627,6,4225,7840,7845,7588,7928,8540,8267,8651,8267,8073,8309,8598,8310,7666,8532,7370,8838,7217,8245,7985,7508,9047,7540,8359,8116,7747,7376,7810,8009,6994,7823,5361,7386,3276,8232,4377,6615,7570,6716,7006,2869,7680,202,6001,7015,6214,5853,3587,6837,1509,6462,6543,7149,8396,5660,6021,305
7962,8237,8704,8137,8643,9029,7678,5776,6383,5485,5642,6433,7254,6529,5628,3582,6468,6646,6551,6373,5667,6775,7267,6159,7403,5448,6119,5804,6257,5268,6477,5403,5935,5694,6198,87,331,2601,1406,1570,945,2228,3309,6219,3685,5379,6392,4307,6653,7732,8163,8041,8173,7235,7755,6471,7920,7778,7863,8468,7926,7029,8187,6806,8322,8166,8332,4489,7027,7562,6539,6690,4355,2903,2642,3268,4781,716,687,0,717,836,0,2083,6503,7069,7562,7234,7780,7632,7935,7911,6037,7005,7168,7932,6623,7782,6148,8283,5511,7846,7118,6432,8772,6009,6893,5026,6221,6320,7444,7169,5914,5745,3647,4932,649,5925,1504,4542,5037,5271,4999,887,4401,468,4617,4919,5471,4008,2145,5777,358,4449,4408,5487,5738,4282,3452,51
7206,7732,8238,7797,8578,8625,7014,4926,5478,4842,4193,5507,6170,4718,5012,3550,5820,5797,5155,5275,4384,5820,6368,5287,6847,4683,5245,5340,5882,4921,5626,5405,5308,5583,6182,134,388,1566,982,2177,821,1038,3194,5482,2937,4886,6094,3434,6123,7516,7144,7746,7339,6458,7041,6027,6640,7062,6696,7228,6602,6469,7322,6525,7700,7831,7772,4532,6300,6155,5786,5877,3358,2936,1363,2281,3945,838,142,0,443,743,6,1358,4709,6337,7028,6191,7768,6890,7086,7183,5985,5588,6243,7672,5970,7599,5922,7948,5284,7683,6578,4762,8352,5454,6651,3136,4350,5793,5976,6632,5962,5129,2727,4026,171,5204,1110,3580,4013,4534,4268,604,3782,78,3948,3672,5210,3180,1942,4722,2,2855,2715,4079,4340,3554,2523,20
7021,7124,7806,7427,8123,8076,6425,4463,4398,4896,3921,5185,5912,3405,4570,2667,5668,5144,4933,5051,3909,5026,6284,5102,6476,4036,4392,4827,5757,4754,5546,5185,4950,5399,5705,155,552,1592,664,2291,809,547,3118,5531,1885,4495,5835,2843,5853,6971,6876,7153,6348,6139,6486,5584,6371,6388,5962,6311,5568,5698,6722,5870,7347,7535,7005,3984,5900,5235,5083,4583,3066,2538,1039,1192,3054,766,16,0,455,625,35,1289,4327,6002,6515,5959,6849,6511,7053,6271,5892,4836,6157,7390,5922,7425,5542,7850,5291,7630,5895,4129,7824,5073,6458,2965,3870,5290,5388,5951,5780,4855,2175,3853,82,5174,457,3117,3438,4229,3357,306,3686,9,3345,2266,4659,2126,1698,4188,60,1721,1814,3662,3000,2994,1568,0
6356,6514,7677,6564,7826,7675,5831,3955,4105,4879,3902,4907,5695,2873,4003,2436,5578,4911,4809,4703,3371,4688,6279,4402,6395,3605,4417,5188,5555,4779,5135,4892,4585,5098,5268,117,450,1463,512,2373,865,317,3067,5058,1447,4330,5688,2190,5603,6340,6907,6698,5334,6020,6237,5105,6143,6144,5407,6053,5193,4548,6309,5477,6762,7180,5110,3238,5193,4715,4438,3812,2690,2343,889,839,1149,739,16,4,712,352,47,1221,4238,5924,5560,6135,6674,6356,6967,5644,5850,4502,6243,7009,5745,7208,5336,7791,4702,7469,5672,4124,7339,4403,5875,2503,3545,4994,5216,5599,4421,4674,2229,3513,34,5043,284,2996,3133,3936,2877,290,3725,6,3050,2097,4393,1832,1497,4031,0,1334,1240,3368,2671,2081,1346,0
5895,6015,7424,5743,7775,7551,5841,3940,3628,4858,4089,4657,5329,2554,3567,2404,6031,4644,4703,4520,3226,4457,6537,4270,5831,3213,4289,5237,5066,4645,4844,4859,4184,4796,4950,79,438,1318,589,2357,791,262,3081,4854,1147,3959,5252,1773,5501,5608,6824,6218,3952,5743,6231,4601,6171,6002,5056,5797,5082,3866,5946,5045,6189,6831,4382,2934,4754,4534,3912,3614,2451,2023,781,785,428,667,11,13,785,170,80,1020,4338,5753,5082,6122,6603,6160,6862,5241,5694,4393,6123,6771,5668,7054,5256,7756,4254,7218,5571,4115,6934,4078,5619,2314,3185,4872,4967,5500,3684,4247,2035,3185,38,5108,226,2665,2847,3572,2739,302,3637,3,2714,1967,4195,1762,1267,3672,0,1096,571,3203,2381,1218,1052,0
5609,5553,7088,5448,7780,7054,5612,4021,3668,4751,4275,4419,4950,2426,3254,2265,5982,4429,4817,4402,3799,4352,6738,4042,5693,3007,4034,4989,4509,4322,4684,4683,3855,4560,4642,78,372,1073,731,2331,691,366,2983,4656,923,3489,4668,1313,5348,4761,6656,5800,3340,5588,6175,4312,6148,5759,5095,5381,4877,3439,5468,4777,5762,6611,3925,2470,4201,4411,3283,3568,2424,1634,716,674,322,630,11,20,519,114,101,971,4383,5581,4901,6044,6330,5987,6648,4981,5576,4323,5891,6454,5368,6934,5037,7674,4053,6947,5471,4049,6799,3788,5434,2247,2986,4804,4855,5336,3511,3975,2016,2961,40,5346,174,2535,2605,3272,2627,278,3460,0,2500,1774,3805,1753,1071,3328,0,985,408,3135,2140,636,633,0
5299,5404,6741,5365,7717,6940,5610,3841,3692,4952,4384,4052,4667,2304,3044,2293,5224,4434,4885,4343,4441,4313,6931,4382,5492,3024,3721,4855,4121,4227,4579,4614,3650,4383,4111,55,342,904,751,2347,534,439,3070,4064,722,3166,4034,1150,5282,4026,6529,5309,3226,5465,6177,4222,6201,5867,5026,4987,4744,2947,4584,4177,4906,6299,3495,2185,3742,3746,2846,3452,2466,1514,738,604,296,559,17,22,506,101,115,910,4570,5591,4972,5779,5784,5796,6648,4696,5168,3896,5572,6237,5045,6672,4982,7576,3841,6669,5190,3886,6576,3606,5187,2176,3019,4849,4724,5196,3435,3862,1904,2991,25,5427,47,2272,2497,3033,2648,282,3423,0,2311,1696,3210,1748,1049,2859,5,863,309,2744,1932,349,365,0
5110,5394,6508,5258,7621,6829,5522,3895,3713,4994,4464,3924,4767,2349,2907,2422,4290,4147,4966,4292,4786,4231,7130,4404,5197,3042,3653,4919,3747,4260,4545,4670,3250,4284,3622,65,337,641,752,2332,490,482,3052,3485,588,2890,3130,1078,5169,3087,6410,5515,3199,5128,6087,4101,6211,5764,4865,4573,4455,2510,3556,3814,4473,6011,3107,1928,3448,3081,2516,3214,2556,1480,704,566,285,541,17,21,451,101,127,904,4667,5575,4897,5576,5556,5385,6677,4684,4619,3580,5496,6095,4800,6579,4788,7501,3608,6614,4838,3848,6296,3745,5112,2073,3001,4887,4554,5177,3403,3661,1812,3019,25,5166,52,2137,2534,2884,2545,291,3415,0,2130,1598,2880,1746,933,2198,34,778,223,2551,1726,226,256,0
