A new study created in RDB with name: Poly_Lasso_3525
Trial 4 finished with value: 0.7712771018264031 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 0.0023794276083358742, 'max_iter': 137}. Best is trial 4 with value: 0.7712771018264031.
Trial 7 finished with value: 0.7661249812467937 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.0004445546715812473, 'max_iter': 58003}. Best is trial 4 with value: 0.7712771018264031.
Trial 12 finished with value: 0.76612513450009 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.0005429729417506378, 'max_iter': 67311}. Best is trial 4 with value: 0.7712771018264031.
Trial 9 finished with value: 0.39827809670640263 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 0.005280049727511826, 'max_iter': 99299}. Best is trial 15 with value: 0.7858058579315264.
Trial 1 finished with value: 0.6513393528023178 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 0.002139191145640084, 'max_iter': 99269}. Best is trial 18 with value: 0.8328532772359407.
Trial 3 finished with value: 0.7818835530424852 and parameters: {'n_components': 4, 'degree': 2, 'alpha': 1.587606037703951, 'max_iter': 9036}. Best is trial 18 with value: 0.8328532772359407.
Trial 2 finished with value: 0.7786373683690833 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 2.116019439897948, 'max_iter': 73339}. Best is trial 18 with value: 0.8328532772359407.
Trial 15 finished with value: 0.7858058579315264 and parameters: {'n_components': 7, 'degree': 2, 'alpha': 3.2195523285136765, 'max_iter': 86808}. Best is trial 18 with value: 0.8328532772359407.
Trial 18 finished with value: 0.8328532772359407 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 0.44317809419448045, 'max_iter': 4958}. Best is trial 8 with value: 0.8331466327886993.
Trial 6 finished with value: 0.7569203991324354 and parameters: {'n_components': 4, 'degree': 3, 'alpha': 4.393884066017537, 'max_iter': 61187}. Best is trial 8 with value: 0.8331466327886993.
Trial 17 finished with value: 0.7796547077489684 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 0.009595562615024991, 'max_iter': 23233}. Best is trial 8 with value: 0.8331466327886993.
Trial 16 finished with value: 0.46649816249624554 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.1103313223539978, 'max_iter': 28138}. Best is trial 18 with value: 0.8328532772359407.
Trial 8 finished with value: 0.8331466327886993 and parameters: {'n_components': 9, 'degree': 3, 'alpha': 1.0380872512096924, 'max_iter': 90608}. Best is trial 8 with value: 0.8331466327886993.
Trial 14 finished with value: 0.3181693425688735 and parameters: {'n_components': 1, 'degree': 2, 'alpha': 8.997052550265046, 'max_iter': 38384}. Best is trial 8 with value: 0.8331466327886993.
Trial 13 finished with value: 0.7978475376220323 and parameters: {'n_components': 8, 'degree': 4, 'alpha': 0.7429144288047775, 'max_iter': 3200}. Best is trial 8 with value: 0.8331466327886993.
Trial 10 finished with value: 0.8219607333463035 and parameters: {'n_components': 10, 'degree': 2, 'alpha': 0.00020116278140702834, 'max_iter': 42593}. Best is trial 8 with value: 0.8331466327886993.
Trial 11 finished with value: 0.743146293756359 and parameters: {'n_components': 9, 'degree': 4, 'alpha': 0.12495035727981751, 'max_iter': 22990}. Best is trial 8 with value: 0.8331466327886993.
Trial 5 finished with value: 0.7642617439906673 and parameters: {'n_components': 9, 'degree': 4, 'alpha': 0.18913549763436352, 'max_iter': 39384}. Best is trial 8 with value: 0.8331466327886993.
Trial 19 finished with value: 0.6628370527580676 and parameters: {'n_components': 5, 'degree': 5, 'alpha': 0.0009059445132521111, 'max_iter': 61939}. Best is trial 8 with value: 0.8331466327886993.
Trial 0 finished with value: 0.6035602655857297 and parameters: {'n_components': 7, 'degree': 5, 'alpha': 0.0007726142513369736, 'max_iter': 64533}. Best is trial 8 with value: 0.8331466327886993.
