A new study created in RDB with name: Poly_ElasticNet_71149
Trial 8 finished with value: 0.8277213553924809 and parameters: {'n_components': 11, 'degree': 2, 'l1_ratio': 0.7907059764680088, 'max_iter': 59617}. Best is trial 8 with value: 0.8277213553924809.
Trial 5 finished with value: 0.7815031380367261 and parameters: {'n_components': 4, 'degree': 4, 'l1_ratio': 0.9982549403154122, 'max_iter': 47941}. Best is trial 8 with value: 0.8277213553924809.
Trial 22 finished with value: 0.3919038722402163 and parameters: {'n_components': 1, 'degree': 5, 'l1_ratio': 0.5881621864757332, 'max_iter': 26581}. Best is trial 8 with value: 0.8277213553924809.
Trial 2 finished with value: 0.8260815423394264 and parameters: {'n_components': 11, 'degree': 2, 'l1_ratio': 0.627355563037705, 'max_iter': 76887}. Best is trial 8 with value: 0.8277213553924809.
Trial 0 finished with value: 0.4094394653258182 and parameters: {'n_components': 3, 'degree': 1, 'l1_ratio': 0.874539924097194, 'max_iter': 20918}. Best is trial 8 with value: 0.8277213553924809.
Trial 14 finished with value: 0.32324505264534864 and parameters: {'n_components': 1, 'degree': 3, 'l1_ratio': 0.12211483498506104, 'max_iter': 29631}. Best is trial 8 with value: 0.8277213553924809.
Trial 4 finished with value: 0.8225051834999457 and parameters: {'n_components': 10, 'degree': 2, 'l1_ratio': 0.031340653797535145, 'max_iter': 76995}. Best is trial 8 with value: 0.8277213553924809.
Trial 18 finished with value: 0.7583088356256641 and parameters: {'n_components': 6, 'degree': 4, 'l1_ratio': 0.19762690811627404, 'max_iter': 61323}. Best is trial 8 with value: 0.8277213553924809.
Trial 17 finished with value: 0.7827402944369427 and parameters: {'n_components': 4, 'degree': 2, 'l1_ratio': 0.8885370745413071, 'max_iter': 53536}. Best is trial 8 with value: 0.8277213553924809.
Trial 19 finished with value: 0.32862453063519736 and parameters: {'n_components': 1, 'degree': 2, 'l1_ratio': 0.8612945672145994, 'max_iter': 93636}. Best is trial 8 with value: 0.8277213553924809.
Trial 20 finished with value: 0.3901690132705409 and parameters: {'n_components': 1, 'degree': 5, 'l1_ratio': 0.4161748558690088, 'max_iter': 97478}. Best is trial 8 with value: 0.8277213553924809.
Trial 12 finished with value: 0.44392308320218754 and parameters: {'n_components': 4, 'degree': 1, 'l1_ratio': 0.3376461739062627, 'max_iter': 11077}. Best is trial 8 with value: 0.8277213553924809.
Trial 3 finished with value: 0.8242219763745304 and parameters: {'n_components': 9, 'degree': 2, 'l1_ratio': 0.038023308982411574, 'max_iter': 84116}. Best is trial 8 with value: 0.8277213553924809.
Trial 1 finished with value: 0.7806261521043887 and parameters: {'n_components': 3, 'degree': 4, 'l1_ratio': 0.2543154549203993, 'max_iter': 64023}. Best is trial 8 with value: 0.8277213553924809.
Trial 9 finished with value: 0.7747693913559106 and parameters: {'n_components': 6, 'degree': 3, 'l1_ratio': 0.3398188661886359, 'max_iter': 85561}. Best is trial 8 with value: 0.8277213553924809.
Trial 21 finished with value: 0.8152093230267876 and parameters: {'n_components': 11, 'degree': 4, 'l1_ratio': 0.8111515572775846, 'max_iter': 16304}. Best is trial 8 with value: 0.8277213553924809.
Trial 13 finished with value: 0.8175422849506895 and parameters: {'n_components': 11, 'degree': 4, 'l1_ratio': 0.961904063597709, 'max_iter': 85562}. Best is trial 8 with value: 0.8277213553924809.
Trial 34 finished with value: 0.778493303283603 and parameters: {'n_components': 4, 'degree': 3, 'l1_ratio': 0.92865387475847, 'max_iter': 33129}. Best is trial 8 with value: 0.8277213553924809.
Trial 23 finished with value: 0.7666836384637739 and parameters: {'n_components': 2, 'degree': 2, 'l1_ratio': 0.8523961144702108, 'max_iter': 8944}. Best is trial 8 with value: 0.8277213553924809.
Trial 26 finished with value: 0.7710035013197929 and parameters: {'n_components': 5, 'degree': 4, 'l1_ratio': 0.9150325239556649, 'max_iter': 12563}. Best is trial 8 with value: 0.8277213553924809.
Trial 10 finished with value: 0.7557056444218406 and parameters: {'n_components': 6, 'degree': 5, 'l1_ratio': 0.7232058924391914, 'max_iter': 9500}. Best is trial 8 with value: 0.8277213553924809.
Trial 32 finished with value: 0.3284694568004222 and parameters: {'n_components': 1, 'degree': 2, 'l1_ratio': 0.682631443807928, 'max_iter': 68112}. Best is trial 8 with value: 0.8277213553924809.
