A new study created in RDB with name: SVR_65137
Trial 6 finished with value: -0.043898416741434555 and parameters: {'kernel': 'rbf', 'epsilon': 0.7241620203011013, 'degree': 4, 'C': 0.034827035394214875}. Best is trial 6 with value: -0.043898416741434555.
Trial 12 finished with value: -0.06243834670038349 and parameters: {'kernel': 'rbf', 'epsilon': 0.3787646310683157, 'degree': 2, 'C': 0.0007013550960729284}. Best is trial 3 with value: 0.7752417975614934.
Trial 0 finished with value: 0.056751207486804345 and parameters: {'kernel': 'poly', 'epsilon': 0.011697192894360886, 'degree': 2, 'C': 0.23297733446406974}. Best is trial 3 with value: 0.7752417975614934.
Trial 3 finished with value: 0.7752417975614934 and parameters: {'kernel': 'linear', 'epsilon': 0.06380577928177944, 'degree': 5, 'C': 0.8866749871462848}. Best is trial 3 with value: 0.7752417975614934.
Trial 8 finished with value: 0.1878619701646401 and parameters: {'kernel': 'rbf', 'epsilon': 0.5330884924966359, 'degree': 6, 'C': 0.5182059408596873}. Best is trial 3 with value: 0.7752417975614934.
Trial 1 finished with value: -0.06150975655746007 and parameters: {'kernel': 'poly', 'epsilon': 0.5030313060738297, 'degree': 6, 'C': 0.0022604815270971055}. Best is trial 3 with value: 0.7752417975614934.
Trial 17 finished with value: -0.059722624720121 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.5127237734801793, 'degree': 3, 'C': 0.0045600950041844515}. Best is trial 3 with value: 0.7752417975614934.
Trial 14 finished with value: -0.06452898710942377 and parameters: {'kernel': 'poly', 'epsilon': 0.8323920952283408, 'degree': 6, 'C': 0.00010302188878238925}. Best is trial 3 with value: 0.7752417975614934.
Trial 13 finished with value: -0.0009038570215002984 and parameters: {'kernel': 'poly', 'epsilon': 0.7807558066831983, 'degree': 5, 'C': 0.09534629132351187}. Best is trial 3 with value: 0.7752417975614934.
Trial 18 finished with value: 0.0710552911016284 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6828197938546846, 'degree': 4, 'C': 0.17856670252061901}. Best is trial 3 with value: 0.7752417975614934.
Trial 9 finished with value: 0.664012713424156 and parameters: {'kernel': 'linear', 'epsilon': 0.7405655591202628, 'degree': 3, 'C': 0.10712933859244615}. Best is trial 3 with value: 0.7752417975614934.
Trial 11 finished with value: 0.6613197735523745 and parameters: {'kernel': 'linear', 'epsilon': 0.3549445696108, 'degree': 5, 'C': 0.1042011151013889}. Best is trial 3 with value: 0.7752417975614934.
Trial 4 finished with value: 0.2994628204791234 and parameters: {'kernel': 'linear', 'epsilon': 0.21039305949781562, 'degree': 6, 'C': 0.022595477083158164}. Best is trial 3 with value: 0.7752417975614934.
Trial 20 finished with value: 0.774703581715783 and parameters: {'kernel': 'linear', 'epsilon': 0.8788705362526087, 'degree': 3, 'C': 1.8097543774215126}. Best is trial 3 with value: 0.7752417975614934.
Trial 21 finished with value: -0.06265913958527354 and parameters: {'kernel': 'poly', 'epsilon': 0.604018127607375, 'degree': 5, 'C': 0.0015906620843937978}. Best is trial 3 with value: 0.7752417975614934.
Trial 22 finished with value: -0.05915948552051027 and parameters: {'kernel': 'rbf', 'epsilon': 0.25021916183591264, 'degree': 2, 'C': 0.005480255934865338}. Best is trial 3 with value: 0.7752417975614934.
Trial 23 finished with value: 0.7571570707092665 and parameters: {'kernel': 'linear', 'epsilon': 0.3395735716159891, 'degree': 6, 'C': 0.32733274719469574}. Best is trial 3 with value: 0.7752417975614934.
Trial 7 finished with value: -0.057364942813430034 and parameters: {'kernel': 'linear', 'epsilon': 0.5459740440626627, 'degree': 4, 'C': 0.00028291171214607855}. Best is trial 3 with value: 0.7752417975614934.
Trial 5 finished with value: -0.03793878380482514 and parameters: {'kernel': 'poly', 'epsilon': 0.08520643690375418, 'degree': 5, 'C': 0.0344482643226808}. Best is trial 3 with value: 0.7752417975614934.
Trial 2 finished with value: 0.7032482619572764 and parameters: {'kernel': 'rbf', 'epsilon': 0.8600011314528713, 'degree': 2, 'C': 4.119785743850245}. Best is trial 3 with value: 0.7752417975614934.
Trial 19 finished with value: 0.7730981264911042 and parameters: {'kernel': 'linear', 'epsilon': 0.6437736256025385, 'degree': 4, 'C': 0.6209955823147026}. Best is trial 3 with value: 0.7752417975614934.
Trial 10 finished with value: -0.06225276288080295 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.4624606286594798, 'degree': 6, 'C': 0.0011636621322898414}. Best is trial 3 with value: 0.7752417975614934.
Trial 16 finished with value: 0.12640473760215043 and parameters: {'kernel': 'poly', 'epsilon': 0.7032547532178315, 'degree': 5, 'C': 0.35707541539726495}. Best is trial 3 with value: 0.7752417975614934.
Trial 15 finished with value: -0.055477817441106844 and parameters: {'kernel': 'poly', 'epsilon': 0.994675314822035, 'degree': 4, 'C': 0.016008573013566032}. Best is trial 3 with value: 0.7752417975614934.
Trial 27 finished with value: -0.032082366446274733 and parameters: {'kernel': 'rbf', 'epsilon': 0.3971725603486923, 'degree': 4, 'C': 0.05364592928636766}. Best is trial 3 with value: 0.7752417975614934.
