A new study created in RDB with name: SVR_112239
Trial 7 finished with value: -0.016255323989742478 and parameters: {'kernel': 'rbf', 'epsilon': 0.05234613426421442, 'degree': 6, 'C': 0.0002812525792514806}. Best is trial 0 with value: 0.6945326075697137.
Trial 0 finished with value: 0.6945326075697137 and parameters: {'kernel': 'linear', 'epsilon': 0.19590327707141952, 'degree': 6, 'C': 0.3606523259000055}. Best is trial 0 with value: 0.6945326075697137.
Trial 1 finished with value: 0.7254909725982112 and parameters: {'kernel': 'linear', 'epsilon': 0.26920480384035284, 'degree': 4, 'C': 1.1312056640481107}. Best is trial 1 with value: 0.7254909725982112.
Trial 14 finished with value: -0.015907281073124103 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6500333591409814, 'degree': 6, 'C': 0.0009300849976830716}. Best is trial 1 with value: 0.7254909725982112.
Trial 17 finished with value: -0.01713373463548472 and parameters: {'kernel': 'rbf', 'epsilon': 0.8734946916269519, 'degree': 6, 'C': 0.00014938675034884019}. Best is trial 1 with value: 0.7254909725982112.
Trial 19 finished with value: 0.026097723855700538 and parameters: {'kernel': 'linear', 'epsilon': 0.9636052333204755, 'degree': 6, 'C': 0.0021970687898628526}. Best is trial 1 with value: 0.7254909725982112.
Trial 12 finished with value: -0.012186079243003268 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6210865962978653, 'degree': 2, 'C': 0.005964939478129185}. Best is trial 1 with value: 0.7254909725982112.
Trial 16 finished with value: -0.016234463295373747 and parameters: {'kernel': 'rbf', 'epsilon': 0.020075408201748135, 'degree': 6, 'C': 0.00032155632702127174}. Best is trial 1 with value: 0.7254909725982112.
Trial 20 finished with value: 0.22000955400951833 and parameters: {'kernel': 'poly', 'epsilon': 0.49289184303703226, 'degree': 3, 'C': 0.48312754383708084}. Best is trial 1 with value: 0.7254909725982112.
Trial 11 finished with value: 0.033969795744995965 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.8843839456865402, 'degree': 4, 'C': 0.07166865003808605}. Best is trial 1 with value: 0.7254909725982112.
Trial 13 finished with value: 0.20391066920989648 and parameters: {'kernel': 'linear', 'epsilon': 0.8417503795903473, 'degree': 4, 'C': 0.014164483829072623}. Best is trial 1 with value: 0.7254909725982112.
Trial 10 finished with value: 0.006061201793584781 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6233885675683164, 'degree': 4, 'C': 0.031193058389397767}. Best is trial 1 with value: 0.7254909725982112.
