A new study created in RDB with name: XGBRegressor_6531
Trial 17 finished with value: 0.4467439670228604 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.8869700038235654, 'subsample': 0.012102099265793198, 'colsample_bytree': 0.4559829485685656, 'learning_rate': 0.851666569233345, 'reg_alpha': 0.0009398634107741563, 'reg_lambda': 2.1210423643248144}. Best is trial 17 with value: 0.4467439670228604.
Trial 15 finished with value: 0.7435418659586699 and parameters: {'max_depth': 1, 'min_child_weight': 5, 'gamma': 0.7975366571317741, 'subsample': 0.9510932101176583, 'colsample_bytree': 0.09706693790074172, 'learning_rate': 0.419101330739558, 'reg_alpha': 2.9885501925285625, 'reg_lambda': 1.1534973797547883}. Best is trial 15 with value: 0.7435418659586699.
Trial 5 finished with value: 0.7413034260830889 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.2392425250913507, 'subsample': 0.948839462203157, 'colsample_bytree': 0.24146785644075897, 'learning_rate': 0.43917456606574534, 'reg_alpha': 0.0006043882992200571, 'reg_lambda': 0.021526466738850045}. Best is trial 15 with value: 0.7435418659586699.
Trial 7 finished with value: 0.7439804387544824 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.4296475665615005, 'subsample': 0.8652554913810022, 'colsample_bytree': 0.02994184367482844, 'learning_rate': 0.3534665940364471, 'reg_alpha': 1.477016166214793, 'reg_lambda': 0.007161555413626652}. Best is trial 7 with value: 0.7439804387544824.
Trial 11 finished with value: 0.7928582309312207 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.12529326806913865, 'subsample': 0.32355822560651126, 'colsample_bytree': 0.39406324100405565, 'learning_rate': 0.27424857298139593, 'reg_alpha': 0.010555818784691268, 'reg_lambda': 0.00011639645756060888}. Best is trial 11 with value: 0.7928582309312207.
Trial 6 finished with value: 0.7925390742963654 and parameters: {'max_depth': 2, 'min_child_weight': 5, 'gamma': 0.5228261994011782, 'subsample': 0.46833648135063055, 'colsample_bytree': 0.8898848861676458, 'learning_rate': 0.2573472808751862, 'reg_alpha': 0.0026175288891743752, 'reg_lambda': 0.0003575533078482977}. Best is trial 11 with value: 0.7928582309312207.
Trial 0 finished with value: 0.7233079875837711 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'gamma': 0.7999720798997517, 'subsample': 0.16690562668033815, 'colsample_bytree': 0.740927139678049, 'learning_rate': 0.3719915008069319, 'reg_alpha': 0.015495311377130158, 'reg_lambda': 7.689336585521425}. Best is trial 11 with value: 0.7928582309312207.
Trial 14 finished with value: 0.7294370943172611 and parameters: {'max_depth': 4, 'min_child_weight': 2, 'gamma': 0.8289319862483057, 'subsample': 0.5058770212358478, 'colsample_bytree': 0.006919259585293491, 'learning_rate': 0.538380401650524, 'reg_alpha': 0.00038822009376574966, 'reg_lambda': 1.59542459716983}. Best is trial 11 with value: 0.7928582309312207.
Trial 2 finished with value: -4378.557290783821 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.7590697843457476, 'subsample': 0.07068107511450328, 'colsample_bytree': 0.38109329120012647, 'learning_rate': 0.6658160712880057, 'reg_alpha': 1.9762147622512476, 'reg_lambda': 0.011720820750387256}. Best is trial 11 with value: 0.7928582309312207.
Trial 24 finished with value: 0.7586129485416506 and parameters: {'max_depth': 2, 'min_child_weight': 5, 'gamma': 0.7786649411199179, 'subsample': 0.6497967998088584, 'colsample_bytree': 0.639241329771, 'learning_rate': 0.9094559170060669, 'reg_alpha': 0.0076146404166617795, 'reg_lambda': 0.053613533827271624}. Best is trial 11 with value: 0.7928582309312207.
Trial 25 finished with value: 0.8003895581540361 and parameters: {'max_depth': 2, 'min_child_weight': 2, 'gamma': 0.2770859740986831, 'subsample': 0.4372984992737112, 'colsample_bytree': 0.30017004752418197, 'learning_rate': 0.03889773690355158, 'reg_alpha': 0.07805241476982111, 'reg_lambda': 0.4657901274917261}. Best is trial 25 with value: 0.8003895581540361.
Trial 4 finished with value: 0.7499411893728241 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'gamma': 0.6053409803125621, 'subsample': 0.9644532805346084, 'colsample_bytree': 0.3013777187486617, 'learning_rate': 0.7213365537775315, 'reg_alpha': 0.1547771624678947, 'reg_lambda': 0.0008498981481604276}. Best is trial 25 with value: 0.8003895581540361.
