A new study created in RDB with name: Poly_ElasticNet_93751
Trial 12 finished with value: 0.7397746812689948 and parameters: {'n_components': 7, 'degree': 2, 'alpha': 0.0005478699017298631, 'l1_ratio': 0.041628962554927984, 'max_iter': 97705}. Best is trial 12 with value: 0.7397746812689948.
Trial 3 finished with value: 0.6487687445425604 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 3.6227100092189417, 'l1_ratio': 0.17182463053298191, 'max_iter': 49547}. Best is trial 12 with value: 0.7397746812689948.
Trial 5 finished with value: 0.3579867818663506 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 1.6373169803951146, 'l1_ratio': 0.9059977237008758, 'max_iter': 95727}. Best is trial 12 with value: 0.7397746812689948.
Trial 7 finished with value: 0.36991466228701053 and parameters: {'n_components': 4, 'degree': 1, 'alpha': 0.25660190380218423, 'l1_ratio': 0.9118466326048293, 'max_iter': 47854}. Best is trial 12 with value: 0.7397746812689948.
Trial 8 finished with value: 0.7257871075708038 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.0013956770788318088, 'l1_ratio': 0.19001481707520118, 'max_iter': 32022}. Best is trial 12 with value: 0.7397746812689948.
Trial 0 finished with value: 0.6373474857901941 and parameters: {'n_components': 7, 'degree': 2, 'alpha': 2.22843898248332, 'l1_ratio': 0.06892311697529918, 'max_iter': 38339}. Best is trial 12 with value: 0.7397746812689948.
Trial 6 finished with value: 0.6595335060782483 and parameters: {'n_components': 3, 'degree': 4, 'alpha': 4.1455446891942405, 'l1_ratio': 0.2042969476012455, 'max_iter': 14499}. Best is trial 12 with value: 0.7397746812689948.
Trial 22 finished with value: 0.43128755602066626 and parameters: {'n_components': 2, 'degree': 3, 'alpha': 2.456038224356391, 'l1_ratio': 0.12425393606881552, 'max_iter': 61483}. Best is trial 12 with value: 0.7397746812689948.
Trial 23 finished with value: 0.6791077244471956 and parameters: {'n_components': 6, 'degree': 3, 'alpha': 3.565093035506423, 'l1_ratio': 0.8711935865694549, 'max_iter': 14777}. Best is trial 14 with value: 0.7805148161332196.
Trial 9 finished with value: 0.35696349830182145 and parameters: {'n_components': 4, 'degree': 1, 'alpha': 1.0590161728596024, 'l1_ratio': 0.5228615614796814, 'max_iter': 88996}. Best is trial 12 with value: 0.7397746812689948.
Trial 14 finished with value: 0.7805148161332196 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 1.323500951673816, 'l1_ratio': 0.49414877543945224, 'max_iter': 77400}. Best is trial 14 with value: 0.7805148161332196.
