A new study created in RDB with name: Poly_ElasticNet_104731
Trial 6 finished with value: -1.7254275286965235 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 0.004475827910531482, 'l1_ratio': 0.398718736592794, 'max_iter': 30941}. Best is trial 6 with value: -1.7254275286965235.
Trial 14 finished with value: -0.02471318538443871 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 0.4407656942793882, 'l1_ratio': 0.35630541735473154, 'max_iter': 90337}. Best is trial 14 with value: -0.02471318538443871.
Trial 1 finished with value: -0.9377709890395206 and parameters: {'n_components': 7, 'degree': 2, 'alpha': 6.938701688148357, 'l1_ratio': 0.9075472519601415, 'max_iter': 17800}. Best is trial 14 with value: -0.02471318538443871.
Trial 17 finished with value: -1.3730536885480102 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 9.023878120445366, 'l1_ratio': 0.5646976790563961, 'max_iter': 70905}. Best is trial 14 with value: -0.02471318538443871.
Trial 16 finished with value: -1.8427248564361611 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.0015088028310466836, 'l1_ratio': 0.07516312864028918, 'max_iter': 80133}. Best is trial 14 with value: -0.02471318538443871.
Trial 4 finished with value: -4.972446127601535 and parameters: {'n_components': 1, 'degree': 3, 'alpha': 0.0005655650471751157, 'l1_ratio': 0.5717425280685559, 'max_iter': 75509}. Best is trial 14 with value: -0.02471318538443871.
Trial 13 finished with value: -1.8500365002052905 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.00016841306875236547, 'l1_ratio': 0.04185800464498146, 'max_iter': 10089}. Best is trial 14 with value: -0.02471318538443871.
Trial 15 finished with value: -1.8448751940607058 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 0.0005016655938107459, 'l1_ratio': 0.07451445190886097, 'max_iter': 28449}. Best is trial 14 with value: -0.02471318538443871.
Trial 18 finished with value: -0.2486934673951673 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 0.017015607434459158, 'l1_ratio': 0.6183154307781532, 'max_iter': 50204}. Best is trial 14 with value: -0.02471318538443871.
Trial 3 finished with value: -0.9164452296520206 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 0.031862813955043444, 'l1_ratio': 0.8733542583813714, 'max_iter': 10126}. Best is trial 14 with value: -0.02471318538443871.
Trial 19 finished with value: 0.11649219481864229 and parameters: {'n_components': 9, 'degree': 4, 'alpha': 7.068774652761951, 'l1_ratio': 0.25985650757497103, 'max_iter': 87620}. Best is trial 23 with value: 0.17339284094122295.
