A new study created in RDB with name: Poly_Lasso_10822
Trial 8 finished with value: -0.24129210047203858 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 6.472067628194143, 'max_iter': 92335}. Best is trial 8 with value: -0.24129210047203858.
Trial 6 finished with value: -5.116643771799952 and parameters: {'n_components': 1, 'degree': 1, 'alpha': 0.004411093787838719, 'max_iter': 16486}. Best is trial 8 with value: -0.24129210047203858.
Trial 2 finished with value: -1.843089577091647 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.0013194430298564834, 'max_iter': 9539}. Best is trial 8 with value: -0.24129210047203858.
Trial 5 finished with value: -5.158039646516549 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 2.1365090158070714, 'max_iter': 23950}. Best is trial 22 with value: 0.11468881138223651.
Trial 22 finished with value: 0.11468881138223651 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 0.6589676325606033, 'max_iter': 85128}. Best is trial 22 with value: 0.11468881138223651.
Trial 16 finished with value: -4.441821013699697 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 0.000263499346461292, 'max_iter': 44817}. Best is trial 22 with value: 0.11468881138223651.
Trial 0 finished with value: -1.039673546265655 and parameters: {'n_components': 9, 'degree': 1, 'alpha': 0.1748552763298898, 'max_iter': 19125}. Best is trial 22 with value: 0.11468881138223651.
Trial 14 finished with value: -1.8451240176029708 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 0.0057120366695264406, 'max_iter': 10890}. Best is trial 22 with value: 0.11468881138223651.
Trial 12 finished with value: -4.8352054912733875 and parameters: {'n_components': 1, 'degree': 4, 'alpha': 0.006520561792584061, 'max_iter': 19148}. Best is trial 22 with value: 0.11468881138223651.
Trial 4 finished with value: -1.8522674579018568 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.09300692124418229, 'max_iter': 84368}. Best is trial 22 with value: 0.11468881138223651.
Trial 7 finished with value: -0.7344452751451931 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 4.842135408786133, 'max_iter': 26348}. Best is trial 21 with value: 0.36215287534558005.
Trial 3 finished with value: 0.0571305374341199 and parameters: {'n_components': 4, 'degree': 3, 'alpha': 0.08190352244208757, 'max_iter': 88620}. Best is trial 21 with value: 0.36215287534558005.
Trial 13 finished with value: -0.2425112484586495 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 0.24088510510636085, 'max_iter': 85739}. Best is trial 21 with value: 0.36215287534558005.
Trial 11 finished with value: -4.809235486242833 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 2.418237335942525, 'max_iter': 79993}. Best is trial 22 with value: 0.11468881138223651.
Trial 21 finished with value: 0.36215287534558005 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.5885631761117518, 'max_iter': 72561}. Best is trial 21 with value: 0.36215287534558005.
Trial 24 finished with value: -4.441806718150173 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 0.00013898499703484323, 'max_iter': 5949}. Best is trial 21 with value: 0.36215287534558005.
Trial 27 finished with value: -0.7435778708496735 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 2.0065722311171075, 'max_iter': 12887}. Best is trial 21 with value: 0.36215287534558005.
Trial 28 finished with value: -4.580975467314474 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 1.0627267587793356, 'max_iter': 58221}. Best is trial 21 with value: 0.36215287534558005.
Trial 30 finished with value: -1.8509735493977337 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.039305613789251584, 'max_iter': 71895}. Best is trial 21 with value: 0.36215287534558005.
