A new study created in RDB with name: SVR_172814
Trial 0 finished with value: -5.399689823615785 and parameters: {'kernel': 'poly', 'epsilon': 0.4610948498077283, 'degree': 4, 'C': 0.00011872607266036484}. Best is trial 0 with value: -5.399689823615785.
Trial 13 finished with value: -5.37182723803927 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.26618221723183555, 'degree': 3, 'C': 0.00023866859091372018}. Best is trial 14 with value: -0.7776510847461113.
Trial 14 finished with value: -0.7776510847461113 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.21166552269055794, 'degree': 6, 'C': 6.733647193739481}. Best is trial 14 with value: -0.7776510847461113.
Trial 4 finished with value: -3.1566642511269634 and parameters: {'kernel': 'poly', 'epsilon': 0.31098751744888686, 'degree': 5, 'C': 0.2358520543412978}. Best is trial 14 with value: -0.7776510847461113.
Trial 1 finished with value: -5.426649539000678 and parameters: {'kernel': 'poly', 'epsilon': 0.7829424600590639, 'degree': 5, 'C': 0.00013334632618722914}. Best is trial 14 with value: -0.7776510847461113.
Trial 5 finished with value: -4.73407408769123 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.8356777711820679, 'degree': 2, 'C': 0.08791531661067553}. Best is trial 14 with value: -0.7776510847461113.
Trial 10 finished with value: -5.103459920074878 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.3090704595046475, 'degree': 3, 'C': 0.036985899118551074}. Best is trial 14 with value: -0.7776510847461113.
Trial 2 finished with value: -5.325460562668174 and parameters: {'kernel': 'poly', 'epsilon': 0.21862684658996312, 'degree': 5, 'C': 0.0031498610470344643}. Best is trial 14 with value: -0.7776510847461113.
Trial 11 finished with value: -5.365677884607739 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.3413772932440444, 'degree': 4, 'C': 0.002730350914103473}. Best is trial 22 with value: -0.7315220085897017.
Trial 20 finished with value: -4.495644729779847 and parameters: {'kernel': 'linear', 'epsilon': 0.5369597956756621, 'degree': 6, 'C': 0.004208414805913924}. Best is trial 22 with value: -0.7315220085897017.
Trial 3 finished with value: -1.4616400875959723 and parameters: {'kernel': 'poly', 'epsilon': 0.2991507975369678, 'degree': 4, 'C': 2.0879908054968657}. Best is trial 22 with value: -0.7315220085897017.
Trial 18 finished with value: -5.2306883535532105 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.25407177266874936, 'degree': 6, 'C': 0.02147965682677215}. Best is trial 22 with value: -0.7315220085897017.
