A new study created in RDB with name: Poly_Ridge_134851
Trial 7 finished with value: 0.2871581584788805 and parameters: {'n_components': 6, 'degree': 4, 'alpha': 0.014736807730491344, 'max_iter': 2654}. Best is trial 7 with value: 0.2871581584788805.
Trial 8 finished with value: -0.02410630767076043 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.5011014365384984, 'max_iter': 27445}. Best is trial 15 with value: 0.5675287032865125.
Trial 18 finished with value: 0.3206096062098811 and parameters: {'n_components': 5, 'degree': 5, 'alpha': 0.001878100842823573, 'max_iter': 27005}. Best is trial 15 with value: 0.5675287032865125.
Trial 3 finished with value: -1.031453799269274 and parameters: {'n_components': 9, 'degree': 1, 'alpha': 0.00025343531050003247, 'max_iter': 18441}. Best is trial 15 with value: 0.5675287032865125.
Trial 20 finished with value: 0.5687070385193412 and parameters: {'n_components': 9, 'degree': 4, 'alpha': 0.24531376429373342, 'max_iter': 12815}. Best is trial 20 with value: 0.5687070385193412.
Trial 6 finished with value: -0.9292991497153624 and parameters: {'n_components': 10, 'degree': 5, 'alpha': 0.04269478364033771, 'max_iter': 12483}. Best is trial 20 with value: 0.5687070385193412.
Trial 15 finished with value: 0.5675287032865125 and parameters: {'n_components': 11, 'degree': 4, 'alpha': 2.8606973706573235, 'max_iter': 49377}. Best is trial 20 with value: 0.5687070385193412.
Trial 12 finished with value: 0.2340479611466159 and parameters: {'n_components': 6, 'degree': 3, 'alpha': 0.00013271208179834755, 'max_iter': 85878}. Best is trial 20 with value: 0.5687070385193412.
Trial 13 finished with value: 0.5407530152638443 and parameters: {'n_components': 8, 'degree': 4, 'alpha': 2.0007260593838, 'max_iter': 46835}. Best is trial 20 with value: 0.5687070385193412.
Trial 5 finished with value: -0.023843466410963278 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.0012104452005892513, 'max_iter': 46776}. Best is trial 20 with value: 0.5687070385193412.
Trial 17 finished with value: -4.44180060016184 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 0.00964377960539108, 'max_iter': 40965}. Best is trial 20 with value: 0.5687070385193412.
Trial 11 finished with value: 0.17246612992484855 and parameters: {'n_components': 10, 'degree': 2, 'alpha': 6.319725354835771, 'max_iter': 89316}. Best is trial 20 with value: 0.5687070385193412.
Trial 9 finished with value: -2.6670843296901463 and parameters: {'n_components': 10, 'degree': 5, 'alpha': 0.0007126587379364264, 'max_iter': 84570}. Best is trial 20 with value: 0.5687070385193412.
Trial 1 finished with value: -1.8428329482823131 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.33795645280686, 'max_iter': 95230}. Best is trial 20 with value: 0.5687070385193412.
Trial 2 finished with value: -2.2954733058823793 and parameters: {'n_components': 3, 'degree': 1, 'alpha': 1.6810949696989501, 'max_iter': 33417}. Best is trial 20 with value: 0.5687070385193412.
Trial 22 finished with value: 0.3020135655256425 and parameters: {'n_components': 7, 'degree': 4, 'alpha': 0.007466555417661204, 'max_iter': 44822}. Best is trial 20 with value: 0.5687070385193412.
Trial 16 finished with value: -49.252681937741166 and parameters: {'n_components': 11, 'degree': 5, 'alpha': 0.00017260934342731426, 'max_iter': 94249}. Best is trial 20 with value: 0.5687070385193412.
Trial 4 finished with value: -4.8344291703379865 and parameters: {'n_components': 1, 'degree': 4, 'alpha': 0.004810812608472102, 'max_iter': 46703}. Best is trial 20 with value: 0.5687070385193412.
Trial 19 finished with value: -4.897007754168439 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.0004318674627939001, 'max_iter': 9511}. Best is trial 20 with value: 0.5687070385193412.
Trial 0 finished with value: -1.0315259597630282 and parameters: {'n_components': 9, 'degree': 1, 'alpha': 0.195100939413017, 'max_iter': 87052}. Best is trial 20 with value: 0.5687070385193412.
Trial 14 finished with value: 0.2532318922126236 and parameters: {'n_components': 4, 'degree': 5, 'alpha': 0.036850513060147715, 'max_iter': 94732}. Best is trial 20 with value: 0.5687070385193412.
Trial 21 finished with value: 0.41687172979889026 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 7.719816905287206, 'max_iter': 94022}. Best is trial 20 with value: 0.5687070385193412.
Trial 10 finished with value: 0.4453290385154661 and parameters: {'n_components': 10, 'degree': 5, 'alpha': 0.9963529022309383, 'max_iter': 11130}. Best is trial 20 with value: 0.5687070385193412.
Trial 23 finished with value: -0.08527358379013966 and parameters: {'n_components': 4, 'degree': 2, 'alpha': 0.19765692281703887, 'max_iter': 92843}. Best is trial 24 with value: 0.5935389723690505.
Trial 24 finished with value: 0.5935389723690505 and parameters: {'n_components': 9, 'degree': 5, 'alpha': 0.1912664834643921, 'max_iter': 28988}. Best is trial 24 with value: 0.5935389723690505.
Trial 26 finished with value: 0.4467990797248213 and parameters: {'n_components': 11, 'degree': 3, 'alpha': 2.8288705601898436, 'max_iter': 80229}. Best is trial 24 with value: 0.5935389723690505.
Trial 25 finished with value: -0.2532344844989509 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 0.0024384964874093, 'max_iter': 26280}. Best is trial 24 with value: 0.5935389723690505.
Trial 36 finished with value: 0.1414512200302529 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.02697408203082216, 'max_iter': 59851}. Best is trial 24 with value: 0.5935389723690505.
Trial 28 finished with value: 0.27229809989288056 and parameters: {'n_components': 5, 'degree': 4, 'alpha': 0.0009512219640805209, 'max_iter': 62667}. Best is trial 24 with value: 0.5935389723690505.
Trial 33 finished with value: -1.0314713110926512 and parameters: {'n_components': 9, 'degree': 1, 'alpha': 0.04764696818578217, 'max_iter': 38396}. Best is trial 24 with value: 0.5935389723690505.
Trial 31 finished with value: 0.04275919239365219 and parameters: {'n_components': 6, 'degree': 2, 'alpha': 0.0030901354314070563, 'max_iter': 96916}. Best is trial 24 with value: 0.5935389723690505.
Trial 35 finished with value: -1.9129917035378954 and parameters: {'n_components': 4, 'degree': 1, 'alpha': 0.0028007651442958745, 'max_iter': 50440}. Best is trial 24 with value: 0.5935389723690505.
Trial 27 finished with value: -4.8969806867705685 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.3207811779746297, 'max_iter': 21994}. Best is trial 24 with value: 0.5935389723690505.
Trial 34 finished with value: -0.982277884191229 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.006681802557671303, 'max_iter': 71584}. Best is trial 24 with value: 0.5935389723690505.
Trial 32 finished with value: -0.024104603985989292 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.4983675848338496, 'max_iter': 98495}. Best is trial 24 with value: 0.5935389723690505.
Trial 38 finished with value: 0.14030867009530235 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.011952919662417153, 'max_iter': 65888}. Best is trial 24 with value: 0.5935389723690505.
Trial 44 finished with value: -0.9823656012260468 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.0651053158211923, 'max_iter': 83573}. Best is trial 24 with value: 0.5935389723690505.
Trial 40 finished with value: 0.0712862219015645 and parameters: {'n_components': 4, 'degree': 3, 'alpha': 0.0021099786495201067, 'max_iter': 88410}. Best is trial 45 with value: 0.6276637228474578.
Trial 30 finished with value: 0.04373509922486672 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 9.24539026066065, 'max_iter': 66501}. Best is trial 45 with value: 0.6276637228474578.
Trial 42 finished with value: -0.753648982810287 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 0.0006069117741744262, 'max_iter': 73841}. Best is trial 45 with value: 0.6276637228474578.
Trial 45 finished with value: 0.6276637228474578 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 1.748730009405024, 'max_iter': 15313}. Best is trial 45 with value: 0.6276637228474578.
Trial 29 finished with value: -5.768380767720483 and parameters: {'n_components': 1, 'degree': 2, 'alpha': 0.03845218564086657, 'max_iter': 28367}. Best is trial 45 with value: 0.6276637228474578.
Trial 41 finished with value: -0.476299971583474 and parameters: {'n_components': 11, 'degree': 5, 'alpha': 0.0015932708177217485, 'max_iter': 72409}. Best is trial 45 with value: 0.6276637228474578.
Trial 37 finished with value: 0.24661846035523843 and parameters: {'n_components': 5, 'degree': 5, 'alpha': 1.801789354896407, 'max_iter': 90783}. Best is trial 45 with value: 0.6276637228474578.
Trial 47 finished with value: 0.5690150407044113 and parameters: {'n_components': 11, 'degree': 4, 'alpha': 0.7125357374000958, 'max_iter': 25895}. Best is trial 45 with value: 0.6276637228474578.
Trial 43 finished with value: 0.5677082089190661 and parameters: {'n_components': 10, 'degree': 4, 'alpha': 0.0037022551058360055, 'max_iter': 37596}. Best is trial 45 with value: 0.6276637228474578.
