A new study created in RDB with name: SVR_14125
Trial 4 finished with value: -0.023359501702395313 and parameters: {'kernel': 'linear', 'epsilon': 0.6728621938972464, 'degree': 2, 'C': 1.5813969950821456}. Best is trial 4 with value: -0.023359501702395313.
Trial 10 finished with value: -1.9167838295515607 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.2838958597140512, 'degree': 3, 'C': 0.7419120336616126}. Best is trial 4 with value: -0.023359501702395313.
Trial 12 finished with value: -4.6871429603421975 and parameters: {'kernel': 'poly', 'epsilon': 0.5718438277190468, 'degree': 6, 'C': 0.04280105463095277}. Best is trial 4 with value: -0.023359501702395313.
Trial 19 finished with value: -0.022755573077481262 and parameters: {'kernel': 'linear', 'epsilon': 0.32661633990746053, 'degree': 4, 'C': 1.8366423209041527}. Best is trial 11 with value: 0.05531934963934123.
Trial 11 finished with value: 0.05531934963934123 and parameters: {'kernel': 'rbf', 'epsilon': 0.5014416364910296, 'degree': 4, 'C': 8.325987397956395}. Best is trial 11 with value: 0.05531934963934123.
Trial 16 finished with value: -3.4919645108223443 and parameters: {'kernel': 'linear', 'epsilon': 0.7491879145359224, 'degree': 2, 'C': 0.009973315673118098}. Best is trial 11 with value: 0.05531934963934123.
Trial 0 finished with value: -0.36191513739901543 and parameters: {'kernel': 'linear', 'epsilon': 0.7654417465812666, 'degree': 3, 'C': 0.14756035563533249}. Best is trial 11 with value: 0.05531934963934123.
Trial 22 finished with value: -5.4219403134740505 and parameters: {'kernel': 'poly', 'epsilon': 0.8038971298102734, 'degree': 4, 'C': 0.0006277701361557448}. Best is trial 11 with value: 0.05531934963934123.
Trial 3 finished with value: -0.02010174999849811 and parameters: {'kernel': 'linear', 'epsilon': 0.7727661097386043, 'degree': 3, 'C': 9.11343215956475}. Best is trial 11 with value: 0.05531934963934123.
Trial 8 finished with value: -3.6611912581194086 and parameters: {'kernel': 'poly', 'epsilon': 0.8036122591756915, 'degree': 6, 'C': 0.11669424999736884}. Best is trial 11 with value: 0.05531934963934123.
Trial 21 finished with value: -5.370975183527817 and parameters: {'kernel': 'rbf', 'epsilon': 0.25629682489765204, 'degree': 4, 'C': 0.0002793205097942657}. Best is trial 11 with value: 0.05531934963934123.
