A new study created in RDB with name: MLP_12115
Trial 0 finished with value: 141.5070466244852 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00538449941369389, 'batch_size': 96}. Best is trial 0 with value: 141.5070466244852.
Trial 1 finished with value: 7131.898928158791 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0001621550652195841, 'batch_size': 64}. Best is trial 0 with value: 141.5070466244852.
Trial 2 finished with value: 165.96306250789593 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0001297977954481065, 'batch_size': 32}. Best is trial 0 with value: 141.5070466244852.
Trial 3 finished with value: 17728.3404984646 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.00031691490021607986, 'batch_size': 128}. Best is trial 0 with value: 141.5070466244852.
Trial 4 finished with value: 15650.374617712494 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 2, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0001463934144306621, 'batch_size': 128}. Best is trial 0 with value: 141.5070466244852.
Trial 5 finished with value: 528.9291583741074 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 1.3355675617800673e-05, 'batch_size': 32}. Best is trial 0 with value: 141.5070466244852.
Trial 6 finished with value: 9216.005194246238 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 1.890243085642959e-05, 'batch_size': 128}. Best is trial 0 with value: 141.5070466244852.
Trial 7 finished with value: 259.67760388813764 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 2, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000571179831380956, 'batch_size': 128}. Best is trial 0 with value: 141.5070466244852.
Trial 8 finished with value: 84.23618153143106 and parameters: {'input_dropout': 0.0, 'hidden_layers': 2, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.002904173433012477, 'batch_size': 128}. Best is trial 8 with value: 84.23618153143106.
Trial 9 finished with value: 112.4861653632983 and parameters: {'input_dropout': 0.1, 'hidden_layers': 2, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.004286559259295192, 'batch_size': 128}. Best is trial 8 with value: 84.23618153143106.
Trial 10 finished with value: 144.92423623765842 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0014052083318420601, 'batch_size': 96}. Best is trial 8 with value: 84.23618153143106.
