A new study created in RDB with name: MLP_153131
Trial 0 finished with value: 495.5684996318022 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0010891743874929258, 'batch_size': 96}. Best is trial 0 with value: 495.5684996318022.
Trial 1 finished with value: 174.72812597839388 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.007662493077878648, 'batch_size': 32}. Best is trial 1 with value: 174.72812597839388.
Trial 2 finished with value: 61.58012879640624 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.000514716974944923, 'batch_size': 64}. Best is trial 2 with value: 61.58012879640624.
Trial 3 finished with value: 173.64028474108056 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0010770796642554869, 'batch_size': 96}. Best is trial 2 with value: 61.58012879640624.
Trial 4 finished with value: 215.8238462380852 and parameters: {'input_dropout': 0.1, 'hidden_layers': 10, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001940299925073852, 'batch_size': 96}. Best is trial 2 with value: 61.58012879640624.
Trial 5 finished with value: 86.02195370919925 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027170439889079817, 'batch_size': 32}. Best is trial 2 with value: 61.58012879640624.
Trial 6 finished with value: 17928.351633674418 and parameters: {'input_dropout': 0.2, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0006137258508510971, 'batch_size': 128}. Best is trial 2 with value: 61.58012879640624.
Trial 7 finished with value: 158.01586279364236 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.007513269014363621, 'batch_size': 96}. Best is trial 2 with value: 61.58012879640624.
Trial 8 finished with value: 266.1120626445963 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.006061699655947213, 'batch_size': 128}. Best is trial 2 with value: 61.58012879640624.
Trial 9 finished with value: 274.4723647904591 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0028939596483182222, 'batch_size': 96}. Best is trial 2 with value: 61.58012879640624.
Trial 10 finished with value: 87.90481260905285 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0005457477537954569, 'batch_size': 64}. Best is trial 2 with value: 61.58012879640624.
Trial 11 finished with value: 32.76410711366307 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.003280398762431347, 'batch_size': 32}. Best is trial 11 with value: 32.76410711366307.
Trial 12 finished with value: 26.46309731076868 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.001622439393935742, 'batch_size': 64}. Best is trial 12 with value: 26.46309731076868.
Trial 13 finished with value: 49.97409400581074 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.004084125552342863, 'batch_size': 32}. Best is trial 12 with value: 26.46309731076868.
Trial 14 finished with value: 132.93692738241486 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016099296313482755, 'batch_size': 64}. Best is trial 12 with value: 26.46309731076868.
Trial 15 finished with value: 123.07864258694033 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.004192591076264374, 'batch_size': 32}. Best is trial 12 with value: 26.46309731076868.
Trial 16 finished with value: 97.23203112133982 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013661732173529202, 'batch_size': 64}. Best is trial 12 with value: 26.46309731076868.
Trial 17 finished with value: 97.55223852734002 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0032802902393431234, 'batch_size': 32}. Best is trial 12 with value: 26.46309731076868.
Trial 18 finished with value: 20.22952627690939 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0009152547976231722, 'batch_size': 64}. Best is trial 18 with value: 20.22952627690939.
Trial 19 finished with value: 458.1963556060394 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0007459465049607816, 'batch_size': 64}. Best is trial 18 with value: 20.22952627690939.
Trial 20 finished with value: 234.69228046352958 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0008581110532685513, 'batch_size': 64}. Best is trial 18 with value: 20.22952627690939.
Trial 21 finished with value: 33.32992536887798 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001997774123826726, 'batch_size': 32}. Best is trial 18 with value: 20.22952627690939.
Trial 22 finished with value: 53.84705877590604 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014074677468858736, 'batch_size': 64}. Best is trial 18 with value: 20.22952627690939.
Trial 23 finished with value: 138.2229161037608 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001020460911403466, 'batch_size': 64}. Best is trial 18 with value: 20.22952627690939.
Trial 24 finished with value: 48.78515422786666 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002480376619641935, 'batch_size': 32}. Best is trial 18 with value: 20.22952627690939.
Trial 25 finished with value: 131.05133536109324 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.004278032140959805, 'batch_size': 64}. Best is trial 18 with value: 20.22952627690939.
Trial 26 finished with value: 105.85468242736891 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016524385282234073, 'batch_size': 32}. Best is trial 18 with value: 20.22952627690939.
Trial 27 finished with value: 90.20927997496773 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0007772114271232759, 'batch_size': 64}. Best is trial 18 with value: 20.22952627690939.
Trial 28 finished with value: 128.5953017246644 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.005356758970431703, 'batch_size': 96}. Best is trial 18 with value: 20.22952627690939.
Trial 29 finished with value: 88.53185211609633 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.001224905723976255, 'batch_size': 32}. Best is trial 18 with value: 20.22952627690939.
Trial 30 finished with value: 18.910358989608373 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002142033761844337, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 31 finished with value: 34.75296494162528 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020916922038682474, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
