A new study created in RDB with name: MLP_62542
Trial 0 finished with value: 258.6958705672323 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002127899633977048, 'batch_size': 128}. Best is trial 0 with value: 258.6958705672323.
Trial 1 finished with value: 479.0730551570357 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.008520716617250875, 'batch_size': 32}. Best is trial 0 with value: 258.6958705672323.
Trial 2 finished with value: 12339.740183643458 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00024132041562964748, 'batch_size': 128}. Best is trial 0 with value: 258.6958705672323.
Trial 3 finished with value: 268.11129036252674 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00010860762221015422, 'batch_size': 128}. Best is trial 0 with value: 258.6958705672323.
Trial 4 finished with value: 23343.17797389524 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 1.4920839658807416e-05, 'batch_size': 96}. Best is trial 0 with value: 258.6958705672323.
Trial 5 finished with value: 210.4236906474342 and parameters: {'input_dropout': 0.2, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0007123336988900151, 'batch_size': 128}. Best is trial 5 with value: 210.4236906474342.
Trial 6 finished with value: 23610.879214603934 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 2.9812744989144998e-05, 'batch_size': 128}. Best is trial 5 with value: 210.4236906474342.
Trial 7 finished with value: 161.14014722484194 and parameters: {'input_dropout': 0.2, 'hidden_layers': 10, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.004471499302955198, 'batch_size': 64}. Best is trial 7 with value: 161.14014722484194.
Trial 8 finished with value: 2093.351567629275 and parameters: {'input_dropout': 0.2, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00032216630572066393, 'batch_size': 96}. Best is trial 7 with value: 161.14014722484194.
Trial 9 finished with value: 6254.1398587359745 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 1.0834706754768804e-05, 'batch_size': 128}. Best is trial 7 with value: 161.14014722484194.
Trial 10 finished with value: 127.29551501061201 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00991890139662271, 'batch_size': 32}. Best is trial 10 with value: 127.29551501061201.
Trial 11 finished with value: 111.9397621138188 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.009773113631416168, 'batch_size': 32}. Best is trial 11 with value: 111.9397621138188.
Trial 12 finished with value: 118.23199199566399 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016565639828225712, 'batch_size': 32}. Best is trial 11 with value: 111.9397621138188.
Trial 13 finished with value: 141.31728328171602 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.001532508745880665, 'batch_size': 64}. Best is trial 11 with value: 111.9397621138188.
Trial 14 finished with value: 140.47897201055406 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023981476600309012, 'batch_size': 32}. Best is trial 11 with value: 111.9397621138188.
Trial 15 finished with value: 120.7556224114061 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0007286715359451587, 'batch_size': 64}. Best is trial 11 with value: 111.9397621138188.
Trial 16 finished with value: 111.67178491158444 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.004418028182357638, 'batch_size': 32}. Best is trial 16 with value: 111.67178491158444.
Trial 17 finished with value: 116.29255220344999 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.004041366196599683, 'batch_size': 64}. Best is trial 16 with value: 111.67178491158444.
