A new study created in RDB with name: MLP_942
Trial 0 finished with value: 184.6502827269914 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030870657531373693, 'batch_size': 32}. Best is trial 0 with value: 184.6502827269914.
Trial 1 finished with value: 358.10785711964274 and parameters: {'input_dropout': 0.2, 'hidden_layers': 9, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001117540303119465, 'batch_size': 96}. Best is trial 0 with value: 184.6502827269914.
Trial 2 finished with value: 195.984719260577 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.001323278174584181, 'batch_size': 96}. Best is trial 0 with value: 184.6502827269914.
Trial 3 finished with value: 59.60602167773859 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017215926225919568, 'batch_size': 96}. Best is trial 3 with value: 59.60602167773859.
Trial 4 finished with value: 352.6897053119625 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0002595162149724917, 'batch_size': 64}. Best is trial 3 with value: 59.60602167773859.
Trial 5 finished with value: 316.7746878785453 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0037970678448852324, 'batch_size': 32}. Best is trial 3 with value: 59.60602167773859.
Trial 6 finished with value: 204.41215730890843 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00015975158103207187, 'batch_size': 64}. Best is trial 3 with value: 59.60602167773859.
Trial 7 finished with value: 12195.182654134358 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00023153859486646248, 'batch_size': 96}. Best is trial 3 with value: 59.60602167773859.
Trial 8 finished with value: 162.1492249252049 and parameters: {'input_dropout': 0.1, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.003034241974867, 'batch_size': 96}. Best is trial 3 with value: 59.60602167773859.
Trial 9 finished with value: 155.7552402574475 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0036195573692338638, 'batch_size': 96}. Best is trial 3 with value: 59.60602167773859.
Trial 10 finished with value: 4957.79002054821 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00015395684735464174, 'batch_size': 32}. Best is trial 3 with value: 59.60602167773859.
Trial 11 finished with value: 95.37557927256893 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.008645150503887263, 'batch_size': 64}. Best is trial 3 with value: 59.60602167773859.
Trial 12 finished with value: 190.93608146445192 and parameters: {'input_dropout': 0.2, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026455202562573154, 'batch_size': 128}. Best is trial 3 with value: 59.60602167773859.
Trial 13 finished with value: 3082.9151356502052 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019823796158166696, 'batch_size': 96}. Best is trial 3 with value: 59.60602167773859.
Trial 14 finished with value: 8034.75993183207 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0006997344431271652, 'batch_size': 96}. Best is trial 3 with value: 59.60602167773859.
Trial 15 finished with value: 101.86658961248646 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00034098706237311704, 'batch_size': 64}. Best is trial 3 with value: 59.60602167773859.
Trial 16 finished with value: 10209.086497027927 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 4, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0007474549205563926, 'batch_size': 128}. Best is trial 3 with value: 59.60602167773859.
Trial 17 finished with value: 1649.2567727950254 and parameters: {'input_dropout': 0.2, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00017162130308433741, 'batch_size': 32}. Best is trial 3 with value: 59.60602167773859.
Trial 18 finished with value: 185.59526481459525 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00037565872733836907, 'batch_size': 96}. Best is trial 3 with value: 59.60602167773859.
Trial 19 finished with value: 111.12703682109536 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002865362031767436, 'batch_size': 32}. Best is trial 3 with value: 59.60602167773859.
Trial 20 finished with value: 959.7620073910394 and parameters: {'input_dropout': 0.1, 'hidden_layers': 10, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.007098557186353475, 'batch_size': 64}. Best is trial 3 with value: 59.60602167773859.
Trial 21 finished with value: 7762.222508693831 and parameters: {'input_dropout': 0.2, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00011420657396817763, 'batch_size': 96}. Best is trial 3 with value: 59.60602167773859.
Trial 22 finished with value: 144.8044582547068 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0007237788714516768, 'batch_size': 32}. Best is trial 3 with value: 59.60602167773859.
Trial 23 finished with value: 106.80938744931318 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0016247708274687838, 'batch_size': 32}. Best is trial 3 with value: 59.60602167773859.
Trial 24 finished with value: 7458.439536838267 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0003218646884285235, 'batch_size': 32}. Best is trial 3 with value: 59.60602167773859.
Trial 25 finished with value: 22638.31468856315 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00012044562324034988, 'batch_size': 96}. Best is trial 3 with value: 59.60602167773859.
Trial 26 finished with value: 21.03031085049643 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003263127148152459, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 27 finished with value: 5011.70768754057 and parameters: {'input_dropout': 0.2, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00039944581504823995, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 28 finished with value: 236.7216210492588 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0006891582239440587, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 29 finished with value: 393.85161451956606 and parameters: {'input_dropout': 0.2, 'hidden_layers': 10, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.005798341260636809, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
