,office,1_x,1_y,1_angle,1_patient,2_x,2_y,2_angle,2_patient,3_x,3_y,3_angle,3_patient,4_x,4_y,4_angle,4_patient,5_x,5_y,5_angle,5_patient,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office1_0_0_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,0.0,off,4651.031666666667
office1_0_0_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,0.0,off,2323.3233333333333
office1_0_0_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,0.0,off,1992.135
office1_0_0_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,0.0,off,1948.985
office1_0_0_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,0.0,off,4041.5533333333333
office1_0_123_aout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,123.0,a,4464.03
office1_0_123_aout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,123.0,a,2424.9266666666667
office1_0_123_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,123.0,a,2745.625
office1_0_123_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,123.0,a,2123.4466666666667
office1_0_123_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,123.0,a,1526.8833333333334
