,office,1_x,1_y,1_angle,2_x,2_y,2_angle,3_x,3_y,3_angle,4_x,4_y,4_angle,5_x,5_y,5_angle,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office1_0_0,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,0.0,off,2991.4056666666665
office1_0_123_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,123.0,a,2656.9823333333334
office1_0_123_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,123.0,b,2951.1446666666666
office1_0_164_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,164.0,a,2470.3956666666663
office1_0_164_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,164.0,b,3271.053
office1_0_205_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,205.0,a,2765.951666666667
office1_0_205_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,205.0,b,2860.110333333333
office1_0_246_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,246.0,a,2945.272
office1_0_246_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,246.0,b,3991.145333333333
office1_0_41_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,41.0,a,2694.742666666667
office1_0_41_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,41.0,b,3485.744666666667
office1_0_82_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,82.0,a,2558.0060000000003
office1_0_82_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,0.0,82.0,b,3267.572
office1_660_0,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,0.0,off,1118.311
office1_660_123_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,123.0,a,1426.0983333333334
office1_660_123_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,123.0,b,1302.448666666667
office1_660_164_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,164.0,a,1059.0410000000002
office1_660_164_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,164.0,b,1060.2283333333332
office1_660_205_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,205.0,a,1055.7836666666667
office1_660_205_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,205.0,b,1344.082666666667
office1_660_246_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,246.0,a,1779.2926666666667
office1_660_246_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,246.0,b,1018.159
office1_660_41_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,41.0,a,1829.266
office1_660_41_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,41.0,b,1016.0403333333336
office1_660_82_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,82.0,a,910.3236666666668
office1_660_82_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,660.0,82.0,b,1738.5343333333333
